Time_s,Error
0,-0.1001
5.6691999554816e-30,-0.1001
6.81617413467732e-09,-0.100099346555637
4.08970448080639e-08,-0.100096080121132
2.11301398174997e-07,-0.100079764876677
8.546747819125e-07,-0.100018419238874
1.50014874126267e-06,-0.0999572746016211
2.1469507941085e-06,-0.0998964057915515
2.79475483826294e-06,-0.0998358444871823
3.47802459533756e-06,-0.0997724018559397
4.19250657591331e-06,-0.0997065360455274
4.93511128521215e-06,-0.0996385901278629
5.70347077689683e-06,-0.0995688350493455
6.49576259137992e-06,-0.0994974873266877
7.31057427141244e-06,-0.0994247226159316
8.14679269693988e-06,-0.0993506866543616
9.00354720606548e-06,-0.0992755011086205
9.88016252257925e-06,-0.0991992683862913
1.07761149772353e-05,-0.0991220759984883
1.16910169106541e-05,-0.0990439983587288
1.26245914303415e-05,-0.0989650993475713
1.3576658787922e-05,-0.0988854338087207
1.45471263872052e-05,-0.0988050486956449
1.55359775575076e-05,-0.0987239842826251
1.65432627416972e-05,-0.0986422751348259
1.75690975953121e-05,-0.0985599504897781
1.86136555316386e-05,-0.0984770350741977
1.96771660960097e-05,-0.0983935494322019
2.07599098429904e-05,-0.0983095105188111
2.18622176347263e-05,-0.0982249319321049
2.29844716240797e-05,-0.0981398240165228
2.41271004470689e-05,-0.098054194404317
2.52905806217559e-05,-0.0979680480753059
2.64754377815264e-05,-0.0978813874360339
2.76822437071795e-05,-0.0977942127069268
2.89116227362658e-05,-0.0977065216277699
3.0164248066805e-05,-0.0976183099035172
3.14408461325488e-05,-0.0975295710710664
3.27421981243487e-05,-0.0974402965817054
3.4069143872946e-05,-0.0973504757304069
3.54225831198596e-05,-0.0972600957762802
3.68034812557935e-05,-0.0971691417740194
3.821287183035e-05,-0.0970775966405268
3.96518632967261e-05,-0.096985440961187
4.11216450098857e-05,-0.0968926528740743
4.26234925752258e-05,-0.0967992080209768
4.41587778924923e-05,-0.0967050792348796
4.57289774524392e-05,-0.0966102363789591
4.73356814886104e-05,-0.09651464617173
4.89806102871369e-05,-0.0964182716357942
5.06656241405687e-05,-0.0963210719877396
5.23927462790358e-05,-0.0962230018387051
5.41641794653757e-05,-0.0961240108556935
5.59823329074652e-05,-0.0960240429343914
5.78498510784751e-05,-0.095923035396226
5.97696513177274e-05,-0.0958209178568275
6.17449707574687e-05,-0.0957176107889555
6.37794205558311e-05,-0.0956130239375587
6.58770572028159e-05,-0.095507054139189
6.80424809584013e-05,-0.0953995821512658
7.02809521173441e-05,-0.0952904691035847
7.25985564487662e-05,-0.095179551190335
7.50024320135044e-05,-0.0950666323310797
7.75010838494229e-05,-0.0949514739660633
8.01048592535303e-05,-0.0948337792708744
8.28266568936222e-05,-0.0947131695784088
8.56830938632925e-05,-0.0945891448589717
8.86965147031733e-05,-0.0944610150455171
9.1898827344871e-05,-0.0943277672059653
9.53398387467559e-05,-0.0941877733836913
9.91094396938797e-05,-0.0940380035362523
0.000103423132440762,-0.0938709534412697
0.000108440371287514,-0.0936820963064215
0.000113328167964305,-0.0935034310272756
0.000117801822875649,-0.0933443542404035
0.000122172781016528,-0.0931928244786865
0.000126475327934966,-0.0930471738980751
0.000130748298712679,-0.092905764052697
0.000135016099826328,-0.0927675642310095
0.000139296264133052,-0.0926318460005338
0.000143601998456693,-0.0924980715848035
0.000147943740813341,-0.0923658269390495
0.000152330087330079,-0.0922347818688246
0.000156768356872786,-0.0921046654758637
0.000161264983937934,-0.0919752493540257
0.000165825758219792,-0.0918463369594712
0.000170456026475975,-0.0917177551721679
0.000175160809835194,-0.0915893490262483
0.000179944902344821,-0.0914609774750154
0.00018481294700403,-0.0913325101583419
0.000189769502371813,-0.0912038247167692
0.000194819069477588,-0.0910748053558928
0.000199960773516196,-0.0909454751385567
0.000205195436287274,-0.0908158116157935
0.000210551290495277,-0.0906851260211547
0.00021601783705179,-0.0905536906762946
0.000221600345097246,-0.0904213899023319
0.00022730365330446,-0.0902881206574197
0.000233132727089191,-0.0901537791931743
0.000239092661343595,-0.0900182608450283
0.000245188704545164,-0.0898814592849867
0.000251426251206131,-0.0897432664911316
0.000257810848220172,-0.0896035723868852
0.000264348209947659,-0.089462264286596
0.000271044190084802,-0.0893192272654495
0.000277904793819079,-0.0891743436242966
0.000284936152501962,-0.0890274931324897
0.000292144511603171,-0.0888785529463501
0.000299536173591228,-0.0887273984135456
0.0003071175019035,-0.0885739025630924
0.000314894827029031,-0.0884179375446236
0.000322874400093194,-0.0882593750193345
0.000331062312001299,-0.0880980871809068
0.000339464399633714,-0.0879339479606463
0.000348086119064584,-0.0877668348060042
0.000356932443666764,-0.0875966299100087
0.000366007706664884,-0.0874232224719843
0.000375315460149012,-0.0872465106039767
0.000384858347721855,-0.0870664029815468
0.00038840098899538,-0.0869998151030348
0.000388400988995383,-0.0869998151030347
0.000398180598015491,-0.0868167782789506
0.000408291151556224,-0.0866282494993657
0.000418628995377719,-0.0864362409890428
0.000429199027459091,-0.0862406125268813
0.000439998143823568,-0.0860413420498443
0.000451021586767048,-0.0858384255285413
0.000462263530162292,-0.0856318699017487
0.000473717431573655,-0.0854216877914332
0.000485376319465125,-0.0852078930501232
0.000497233089383631,-0.0849904961423875
0.000509280827734428,-0.0847694990343616
0.000521513073475191,-0.0845448911831728
0.00053392404327174,-0.0843166461025828
0.000546508873151448,-0.0840847174827604
0.000559263702353823,-0.0838490380390038
0.000572185801956947,-0.0836095173517348
0.000585273645565468,-0.0833660405793282
0.000598526895838578,-0.0831184685485404
0.000611946425440169,-0.0828666370385719
0.000625534295008259,-0.0826103567092006
0.000639293711132978,-0.0823494132705587
0.000653229035377955,-0.0820835665623883
0.000667345731343238,-0.0818125506878997
0.000681650384205503,-0.0815360726550658
0.000696150666562767,-0.081253811932395
0.000710855399128318,-0.0809654180499899
0.000725774548859193,-0.0806705092739776
0.000740919325231769,-0.080368669200576
0.000756302221968645,-0.0800594442348865
0.000771937174337166,-0.0797423385408879
0.000787839706319515,-0.0794168088870862
0.000804027068461387,-0.0790822593533538
0.000820518546763987,-0.0787380321026936
0.000837335737166349,-0.078383398285747
0.000854502955042776,-0.0780175454378713
0.000872047764574895,-0.0776395614183018
0.000890001623671207,-0.0772484146894651
0.000901291800803309,-0.0770000634307372
0.000901291800803316,-0.0770000634307371
0.00091969095167111,-0.0765907512133705
0.000938858076621499,-0.0761600000650514
0.000958625860897912,-0.0757103758389562
0.000979039320378248,-0.0752401447155145
0.00100017749818678,-0.0747467964180736
0.00102214687726076,-0.0742270665126958
0.00104509006579234,-0.0736766576427601
0.00106920696460608,-0.0730896414776832
0.00109479861959877,-0.0724572402625538
0.00112237237628539,-0.0717649326296071
0.00115296836058683,-0.0709835419096917
0.00118686372986162,-0.0701017796644701
0.00122313752806553,-0.0691394306895385
0.0012573776756233,-0.0682131370815572
0.00128891273901267,-0.067344403559657
0.00131924322969571,-0.0664948023143816
0.00134891698922749,-0.0656505198559182
0.0013782163346908,-0.064804420445091
0.00140731818717731,-0.0639519584416909
0.0014363447175917,-0.063089918916082
0.00146538618886163,-0.0622158535982706
0.00149451278210837,-0.0613277902498833
0.00152378134629707,-0.0604240673490534
0.00155323948109406,-0.0595032346575218
0.00158292827079821,-0.0585639860766002
0.00161288395743995,-0.0576051197070333
0.00164313921749044,-0.0566255065879884
0.00167372405569061,-0.0556240689102442
0.00170466641818191,-0.0545997654037506
0.00173599273197976,-0.0535515777297919
0.00176772827444624,-0.0524785013977814
0.00179989744980243,-0.051379539017937
0.00183252400621144,-0.0502536949844694
0.0018656313330589,-0.0490999668681532
0.00189904043080941,-0.0479244835199812
0.00193251395210227,-0.0467356925767621
0.00196607322173031,-0.0455330445225821
0.00199973768644297,-0.0443160415230343
0.00203352530818407,-0.0430842159473478
0.00206745267309734,-0.0418371279243527
0.00210153517146213,-0.0405743613289364
0.00213578715193899,-0.0392955204855977
0.00217022209809058,-0.0380002256711559
0.0022048527170723,-0.0366881115588484
0.00223969103326717,-0.0353588252353927
0.00227474849397435,-0.0340120235261464
0.00231003602196037,-0.0326473721504717
0.00234556409289614,-0.0312645437671667
0.00238134274340162,-0.0298632185810095
0.0024173816775221,-0.0284430810029124
0.00245369026189712,-0.0270038205466733
0.0024902775627786,-0.0255451310241837
0.0025271523918695,-0.0240667093065283
0.00256432333494633,-0.0225682546937042
0.00260179874592896,-0.021049469627219
0.00263958679184206,-0.019510058310479
0.00267769548438116,-0.0179497258046715
0.0027161326517092,-0.0163681795339458
0.00271807131907027,-0.0162881824191351
0.00271844482795676,-0.0162727577922119
0.00271881833684326,-0.0162573306645658
0.00271927400228981,-0.016238508947102
0.00271937701359937,-0.0162342537986618
0.00271941440971751,-0.016232709031659
0.00271945180583564,-0.0162311642551791
0.00271949466183422,-0.0162293939361394
0.0027197089418271,-0.0162205423262786
0.00272078034179153,-0.0161762840013258
0.00272613734161368,-0.0159549855589009
0.00275292234072441,-0.0148483241065043
0.00280757785647888,-0.0125892861342152
0.0028633214822992,-0.0102840688113574
0.00292042666232865,-0.00792126277380384
0.00297892239405701,-0.00549960927905042
0.00303884227461074,-0.00301766403050785
0.00310022085003019,-0.000473942029881144
0.00311206559256076,1.71054818033645e-05
0.00311206559256078,1.71054818045441e-05
0.00315430483562879,0.00173460835371539
0.0031593541472631,0.00193539616784799
0.00316440345889742,0.00213522279956012
0.00316796388207473,0.00227554652313118
0.00317152430525205,0.00241539018340056
0.00317457456480743,0.00253481406453733
0.00317762482436282,0.00265388545136305
0.00318130167770953,0.00279694820027962
0.00318288027628412,0.00285821274352546
0.00318338073987686,0.00287761584591711
0.0031838812034696,0.00289700978270897
0.00318638352143329,0.00299384201345809
0.00319889511125177,0.00347458246902241
0.00321637381217745,0.00413672791906708
0.00323390730342474,0.00479004806610575
0.00325151797816264,0.00543543394685463
0.00326920603033308,0.0060729274472337
0.00328697176998972,0.00670257498984378
0.00330481551305133,0.0073244235972767
0.00332273758634534,0.00793852107004596
0.00334073832400182,0.00854491583053427
0.00335881805476612,0.00914365647814011
0.00337697713641375,0.00973479290735824
0.0033952159215813,0.0103183751354058
0.00341353477701593,0.01089445391007
0.00343193406530082,0.0114630801050654
0.00345041417302282,0.0120243055732015
0.00346897547557797,0.012578182036066
0.00348761837326858,0.0131247621572863
0.0035063432639089,0.0136640986911166
0.00352515056392235,0.0141962450762868
0.00354404068635801,0.0147212547797316
0.00356301405421407,0.0152391816620492
0.00358207110232194,0.0157500799997652
0.00360121227602701,0.0162540044194387
0.00362043801982133,0.016751009579109
0.00363974879715922,0.0172411506666065
0.00365914506610484,0.0177244827524583
