Time_s,controller
0,-0.131
0.01,-0.130999999997857
0.0100000000000001,-0.130999999997848
0.0100001953125001,-0.130984337622854
0.0100003906250001,-0.130968920845887
0.0100005797717675,-0.130954220561477
0.0100007695134967,-0.130939697763041
0.0100009598249863,-0.130925353077657
0.0100011507103941,-0.130911184818255
0.0100013421733597,-0.130897191350531
0.0100015342176345,-0.130883371044566
0.010001726846959,-0.130869722283904
0.0100019200651077,-0.130856243462201
0.0100021138758794,-0.13084293298387
0.0100023082831417,-0.130829789261062
0.0100025032907652,-0.13081681071816
0.0100026989026939,-0.130803995787071
0.0100028951228332,-0.130791342914556
0.0100030919552051,-0.130778850552076
0.0100032894038175,-0.130766517164326
0.0100034874727301,-0.130754341224909
0.0100036861660397,-0.130742321217325
0.0100038854878786,-0.130730455635061
0.0100040854424156,-0.130718742981485
0.0100042860339047,-0.130707181767082
0.0100044872665528,-0.130695770517096
0.0100046891446815,-0.130684507762165
0.0100048916725825,-0.13067339204653
0.0100050948546336,-0.130662421921532
0.0100052986952595,-0.13065159594782
0.0100055031989328,-0.130640912695378
0.0100057083701272,-0.130630370745886
0.0100059142134077,-0.130619968688032
0.0100061207333237,-0.130609705122991
0.0100063279345382,-0.130599578657889
0.0100065358217133,-0.13058958791157
0.0100067443995726,-0.130579731511449
0.0100069536728879,-0.1305700080942
0.0100071636464438,-0.130560416307378
0.0100073743251297,-0.130550954805152
0.010007585713836,-0.130541622253091
0.0100077978175255,-0.130532417324905
0.0100080106412052,-0.130523338703712
0.0100082241899162,-0.130514385082446
0.0100084384687723,-0.130505555162214
0.0100086534829475,-0.130496847652858
0.0100088692376314,-0.130488261274766
0.0100090857381028,-0.130479794755872
0.0100093029896774,-0.130471446833769
0.0100095209977136,-0.130463216255428
0.0100097397676261,-0.130455101776667
0.010009959304941,-0.130447102160144
0.0100101796151596,-0.130439216180381
0.0100104007039029,-0.130431442618449
0.0100106225768058,-0.130423780265785
0.0100108452395758,-0.130416227922083
0.0100110686980139,-0.130408784394629
0.0100112929579225,-0.130401448501399
0.0100115180252594,-0.130394219065956
0.0100117439059268,-0.130387094924326
0.0100119706059895,-0.130380074917954
0.0100121981315149,-0.130373157898805
0.0100124264886712,-0.130366342726271
0.010012655683674,-0.130359628268821
0.0100128857228203,-0.130353013402978
0.0100131166124473,-0.130346497014498
0.0100133483590199,-0.130340077995892
0.0100135809689995,-0.130333755250106
0.0100138144489502,-0.13032752768752
0.0100140488055616,-0.130321394225434
0.0100142840455229,-0.130315353791392
0.010014520175624,-0.130309405320476
0.0100147572027526,-0.130303547755431
0.0100149951338336,-0.130297780048172
0.0100152339759065,-0.130292101157857
0.0100154737360714,-0.13028651005222
0.0100157144215259,-0.130281005706683
0.0100159560395499,-0.130275587104723
0.0100161985974465,-0.130270253239156
0.0100164421026976,-0.13026500310869
0.0100166865627883,-0.13025983572178
0.0100169319853708,-0.130254750093101
0.0100171783781392,-0.130249745246214
0.0100174257488621,-0.130244820212831
0.0100176741054084,-0.13023997403228
0.0100179234558011,-0.130235205750494
0.0100181738081094,-0.130230514422131
0.0100184251704606,-0.130225899110256
0.0100186775511692,-0.130221358883972
0.0100189309585686,-0.130216892821508
0.0100191854011499,-0.130212500007702
0.0100194408874496,-0.130208179535975
0.0100196974261697,-0.130203930506262
0.010019955026083,-0.130199752026624
0.0100202136960903,-0.13019564321229
0.0100204734451868,-0.130191603186206
0.0100207342824878,-0.13018763107861
0.0100209962171766,-0.130183726027814
0.0100212592586338,-0.13017988717826
0.0100215234163308,-0.130176113682152
0.0100217886998184,-0.130172404699559
0.0100220551188101,-0.130168759397234
0.0100223226831052,-0.130165176949678
0.010022591402697,-0.130161656537686
0.0100228612876452,-0.130158197350057
0.01002313234814,-0.130154798582702
0.0100234045945316,-0.130151459438291
0.0100236780373127,-0.130148179126487
0.0100239526870535,-0.130144956864706
0.010024228554561,-0.130141791876234
0.0100245056507095,-0.130138683392219
0.0100247839865096,-0.130135630650829
0.0100250635731831,-0.130132632896441
0.0100253444220386,-0.130129689381004
0.0100256265445692,-0.130126799362971
0.0100259099524495,-0.130123962107362
0.0100261946574567,-0.130121176886548
0.0100264806715874,-0.130118442979085
0.0100267680069355,-0.130115759670898
0.0100270566758078,-0.13011312625416
0.010027346690643,-0.130110542028058
0.0100276380641334,-0.130108006297689
0.0100279308090548,-0.130105518375579
0.0100282249384484,-0.130103077580084
0.0100285204654379,-0.130100683236939
0.0100288174034171,-0.130098334677682
0.0100291157659358,-0.130096031240611
0.0100294155667738,-0.130093772270186
0.0100297168198558,-0.130091557117679
0.0100300195393142,-0.130089385140676
0.0100303237395657,-0.130087255702552
0.0100306294351239,-0.13008516817379
0.0100309366407978,-0.130083121930581
0.0100312453715623,-0.130081116355717
0.0100315556426365,-0.130079150838053
0.0100318674694824,-0.130077224772527
0.0100321808677818,-0.130075337560308
0.0100324958534245,-0.130073488608848
0.0100328124425918,-0.130071677331386
0.0100331306516895,-0.130069903147348
0.0100334504973569,-0.13006816548228
0.0100337719965174,-0.130066463767566
0.0100340951663116,-0.130064797440781
0.0100344200241993,-0.130063165945156
0.0100347465878536,-0.130061568730113
0.0100350748753001,-0.130060005250573
0.0100354049048023,-0.130058474967519
0.0100357366948949,-0.130056977347817
0.0100360702644221,-0.130055511864032
0.0100364056325677,-0.130054077994305
0.010036742818768,-0.130052675222726
0.0100370818428428,-0.130051303038778
0.0100374227248454,-0.130049960937947
0.0100377654852651,-0.130048648420907
0.010038110144862,-0.130047364994177
0.0100384567246816,-0.130046110170031
0.0100388052462709,-0.130044883465711
0.0100391557313859,-0.130043684404484
0.0100395082022563,-0.130042512514697
0.0100398626814143,-0.130041367330366
0.0100402191918284,-0.130040248390725
0.0100405777568461,-0.130039155240414
0.0100409384002051,-0.130038087429435
0.0100413011460426,-0.130037044513116
0.0100416660189619,-0.130036026051919
0.0100420330439623,-0.130035031611637
0.0100424022464986,-0.130034060763222
0.0100427736524366,-0.130033113082899
0.0100431472881556,-0.13003218815189
0.010043523180486,-0.130031285556583
0.0100439013567456,-0.130030404888429
0.0100442818447556,-0.130029545743902
0.0100446646728516,-0.130028707724478
0.0100450498698546,-0.130027890436685
0.0100454374651667,-0.130027093491896
0.0100458274886863,-0.130026316506503
0.0100462199708719,-0.130025559101776
0.0100466149428109,-0.130024820903729
0.0100470124361192,-0.130024101543313
0.010047412483048,-0.130023400656202
0.0100478151164822,-0.130022717882805
0.0100482203699247,-0.130022052868285
0.0100486282774998,-0.130021405262549
0.0100490388740809,-0.130020774720032
0.0100494521951069,-0.13002016089999
0.0100498682768141,-0.130019563466128
0.0100502871561807,-0.130018982086699
0.0100507088708273,-0.130018416434627
0.010051133459187,-0.130017866187269
0.0100515609605211,-0.130017331026392
0.0100519914148887,-0.130016810638222
0.0100524248630691,-0.130016304713517
0.010052861346755,-0.130015812947331
0.01005330090857,-0.130015335038996
0.0100537435919565,-0.130014870692251
0.0100541894412268,-0.130014419615161
0.0100546385018586,-0.130013981519825
0.0100550908200925,-0.130013556122774
0.0100555464432235,-0.130013143144674
0.0100560054196534,-0.130012742310278
0.0100564677987976,-0.13001235334851
0.0100569336311656,-0.130011975992389
0.010057402968365,-0.130011609979013
0.0100578758631668,-0.130011255049508
0.0100583523695727,-0.130010910948968
0.0100588325428236,-0.130010577426448
0.0100593164394151,-0.130010254234951
0.0100598041170994,-0.130009941131415
0.0100602956350572,-0.130009637876598
0.0100607910538806,-0.130009344235087
0.0100612904354298,-0.130009059975377
0.0100617938432559,-0.130008784869616
0.0100623013423367,-0.130008518693758
0.0100628129991853,-0.13000826122749
0.0100633288819817,-0.130008012254161
0.010063849060662,-0.130007771560735
0.0100643736067434,-0.130007538937867
0.0100649025936332,-0.130007314179757
0.0100654360966918,-0.130007097084118
0.0100659741930211,-0.130006887452267
0.0100665169617112,-0.130006685089003
0.0100670644840522,-0.130006489802533
0.0100676168433911,-0.130006301404523
0.0100681741252826,-0.13000611971003
0.0100687364175073,-0.130005944537501
0.0100693038101315,-0.130005775708732
0.0100698763958678,-0.130005613048764
0.0100704542698087,-0.130005456385955
0.0100710375297956,-0.130005305551871
0.0100716262762618,-0.130005160381322
0.0100722206124014,-0.130005020712308
0.0100728206445339,-0.130004886385928
0.0100734264819111,-0.130004757246422
0.0100740382368379,-0.130004633141134
0.0100746560252241,-0.130004513920395
0.0100752799659137,-0.130004399437649
0.0100759101816771,-0.130004289549253
0.0100765467989487,-0.130004184114534
0.0100771899477919,-0.130004082995776
0.0100778397622471,-0.130003986058158
0.010078496380691,-0.130003893169695
0.0100791599455803,-0.130003804201269
0.0100798306041371,-0.130003719026525
0.0100805085080847,-0.130003637521906
0.0100811938141641,-0.130003559566576
0.010081886684024,-0.130003485042429
0.0100825872847888,-0.130003413834016
0.0100832957892707,-0.130003345828524
0.0100840123758439,-0.130003280915775
0.0100847372290286,-0.130003218988167
0.0100854705396457,-0.130003159940649
0.0100862125053263,-0.130003103670679
0.0100869633305192,-0.130003050078211
0.0100877232268919,-0.130002999065661
0.0100884924139871,-0.130002950537852
0.010089271119013,-0.130002904402025
0.0100900595777166,-0.13000286056777
0.0100908580348091,-0.130002818947003
0.0100916667439003,-0.130002779453956
0.0100924859686612,-0.130002742005115
0.0100933159827212,-0.130002706519213
0.0100941570703798,-0.130002672917193
0.0100950095276619,-0.130002641122156
0.0100958736622041,-0.13000261105936
0.0100967497940505,-0.130002582656181
0.010097638256922,-0.13000255584206
