Slip_Ratio,Tractive_Force_N
-0.001,-0
-0.001,-26.9108023321222
-0.000993465556370075,-26.6503274426817
-0.00096080121132462,-25.775012124901
-0.000797648766768797,-21.4008985060922
-0.000184192388736315,-4.94467056525928
0.000427253983788603,11.4918200303546
0.00103594208448534,27.9155559606155
0.00164155512817739,44.3145407048504
0.00227598144060271,61.5468845721682
0.00293463954472593,79.4961207917532
0.00361409872137114,98.0716798047072
0.00431164950654539,117.200965045651
0.0050251267331229,136.824825741952
0.00575277384068378,156.894091160422
0.00649313345638427,177.366763586442
0.00724498891379489,198.206549301647
0.00800731613708692,219.381656937834
0.00877924001511756,240.863697317178
0.009560016412712,262.627258922496
0.0103490065242868,284.649276823429
0.0111456619127934,306.908673855508
0.0119495130435507,329.386093537175
0.0127601571737493,352.063610812394
0.0135772486517408,374.924500656971
0.0144004951022191,397.953160781851
0.0152296492580226,421.134918800552
0.0160645056779807,444.455961591231
0.0169048948118891,467.903195503398
0.0177506806789509,491.46419650428
0.0186017598347723,515.127195013536
0.0194580559568297,538.880944989898
0.0203195192469414,562.714711429322
0.0211861256396611,586.618256062061
0.0220578729307316,610.581741616012
0.0229347837223008,634.595804643355
0.0238169009648277,658.651446409498
0.0247042892893365,682.740058731272
0.0255970341829461,706.853401100484
0.0264952426959306,730.983610773904
0.0273990422371979,755.123165321949
0.0283085822598064,779.26491075838
0.0292240335947324,803.40203394196
0.0301455903881297,827.528091151496
0.0310734712592573,851.637018180005
0.0320079197902316,875.723119674545
0.0329492076512043,899.781114405141
0.0338976362104091,923.80614425933
0.0348535382827002,947.79377840185
0.0358172836420584,971.740095333766
0.0367892801226036,995.641664547976
0.0377699816129487,1019.49566287183
0.0387598914430654,1043.29988977141
0.0397595706560862,1067.05286598611
0.0407696460377404,1090.75391761317
0.0417908214317253,1114.40330710378
0.0428238921104451,1138.00240505551
0.0438697606244134,1161.55386321196
0.0449294586081102,1185.0618657901
0.0460041784873423,1208.5325269882
0.0470953089641526,1231.97430256283
0.0482044880966504,1255.39863904577
0.0493336766892026,1278.82088713815
0.0504852603393676,1302.26156967377
0.0516622072912556,1325.74839383649
0.0528683042159121,1349.31925974686
0.0541085514102828,1373.02738221649
0.0553898495448291,1396.95026553785
0.0567223279403469,1421.20720914001
0.0581222661630869,1445.99805569901
0.0596199646374767,1471.70789377576
0.0612904655873034,1499.31509706231
0.0631790369357852,1529.31749821742
0.0649656897272439,1557.33881535047
0.0665564575959648,1581.73688198466
0.0680717552131349,1603.97417458475
0.0695282610192486,1624.5672572126
0.0709423594730304,1643.8552576202
0.0723243576899051,1662.05731722736
0.0736815399946616,1679.32595541104
0.0750192841519646,1695.77283776998
0.0763417306095046,1711.48314970672
0.0776521813117545,1726.52404538856
0.0789533452413634,1740.94983954962
0.0802475064597432,1754.8054381145
0.0815366304052882,1768.1285906027
0.0828224482783206,1780.95153698508
0.0841065097375175,1793.30212874287
0.0853902252498464,1805.20467239836
0.0866748984165806,1816.68056683614
0.0879617528323078,1827.74880276101
0.089251946441072,1838.42630347449
0.0905452486144333,1848.71967645097
0.0918418838420651,1858.63688261257
0.0931487397884532,1868.22510401886
0.0944630932370545,1877.47773920586
0.0957861009766811,1886.40251383881
0.0971187934258035,1895.00813472798
0.0984622080682566,1903.30278804152
0.0998173915497175,1911.29391245775
0.101185407150133,1918.98821820077
0.102567335088685,1926.39170975648
0.103964276131148,1933.50972285099
0.10537735713404,1940.34696762177
0.106807727345505,1946.90753374457
0.108256563757034,1953.19492531635
0.109725068675103,1959.21207096272
0.111214470536499,1964.96134349283
0.112726015864544,1970.44455661181
0.114260974369076,1975.66300249244
0.115820624553764,1980.61744419379
0.117406249806656,1985.30814024676
0.119019128190932,1989.73486628166
0.120660520393538,1993.89694302373
0.122331651939958,1997.79326668705
0.124033700899913,2001.42236465201
0.125767775280157,2004.78244990258
0.127534893960233,2007.87149733535
0.129335970184532,2010.68733929834
0.130001848969652,2011.97613050661
0.130001848969653,2012.21802940089
0.131832217210494,2014.17539075348
0.133717505006343,2016.2493462386
0.135637590109572,2018.11615642987
0.137593874731187,2019.71508212789
0.139586579501557,2021.03413888901
0.141615744714587,2022.07096607857
0.143681300982513,2022.82558087477
0.145783122085668,2023.29905795704
0.147921069498768,2023.49328014209
0.150095038576125,2023.41085772893
0.152305009656384,2023.05504970118
0.154551088168272,2022.42966167765
0.156833538974172,2021.53892579365
0.159152825172396,2020.38736599845
0.161509619609962,2018.97966736781
0.163904826482652,2017.32054732262
0.166339594206718,2015.41463690138
0.168815314514596,2013.26638275162
0.171333629614281,2010.87996032453
0.173896432907994,2008.25920499022
0.176505867294413,2005.40756077821
0.179164334376117,2002.32803364542
0.181874493121003,1999.02316432262
0.184639273449342,1995.49499930815
0.18746188067605,1991.74507770758
0.190345819500101,1987.77440673357
0.193294907260224,1983.58345162085
0.19631330799424,1979.17210951554
0.199405557651135,1974.53969466095
0.202576614591122,1969.68489944466
0.205831911129138,1964.60575291148
0.209177406466462,1959.29958234164
0.212619678973064,1953.76293020374
0.21616601714253,1947.99147059574
0.219824545621287,1941.97988797362
0.223604385816982,1935.7217134867
0.227515853105349,1929.20911910805
0.229999365692628,1924.6034724556
0.229999365692629,1923.76945508762
0.234092487866295,1917.96149926879
0.238399999349486,1910.9506686876
0.242896241610438,1903.46725631499
0.247598552844855,1895.63146719433
0.252532035819264,1887.44413599531
0.257729334873042,1878.87656340621
0.263233423572399,1869.88386414948
0.269103585223168,1860.40073724209
0.275427597374462,1850.32691777588
0.282350673703929,1839.49124997391
