Time_s,Motor_Torque_Nm
0,140
0.01,146.4
0.02,150
0.03,150
0.04,149.1
0.05,150
0.06,150
0.07,150
0.08,150
0.09,150
0.1,150
0.11,150
0.12,150
0.13,149.5
0.14,132.1
0.15,118.5
0.16,108.5
0.17,101.5
0.18,96.2
0.19,92.3
0.2,89.8
0.21,88.4
0.22,85.8
0.23,83.7
0.24,74.9
0.25,71.9
0.26,69.1
0.27,66.3
0.28,63.9
0.29,61.1
0.3,59
0.31,56.6
0.32,54.2
0.33,14.8
0.34,6.9
0.35,6.9
0.36,6.9
0.37,15
0.38,48.3
0.39,54.3
0.4,69.6
0.41,60.1
0.42,62.2
0.43,54.1
0.44,65.8
0.45,70.3
0.46,80.7
0.47,78.1
0.48,84
0.49,79.5
0.5,87.4
0.51,87.6
0.52,96.9
0.53,95.2
0.54,102.1
0.55,98.8
0.56,105.9
0.57,104.1
0.58,112.6
0.59,110.8
0.6,118.3
0.61,115.3
0.62,122.2
0.63,119.4
0.64,126.9
0.65,124.6
0.66,132.1
0.67,129.4
0.68,136.3
0.69,133.2
0.7,139.9
0.71,136.9
0.72,144
0.73,141.1
0.74,148.2
0.75,145
0.76,150
0.77,148.3
0.78,150
0.79,150
0.8,149.9
0.81,149.4
0.82,147.5
0.83,145.2
0.84,142.9
0.85,140.9
0.86,139.1
0.87,137.4
0.88,135.6
0.89,133.6
0.9,131.6
0.91,129.7
0.92,128
0.93,126.4
0.94,125
0.95,123.6
0.96,122.1
0.97,120.7
0.98,119.2
0.99,117.8
1,116.6
1.01,115.4
1.02,114.3
1.03,113.2
1.04,112
1.05,110.9
1.06,109.8
1.07,108.8
1.08,107.9
1.09,106.9
1.1,106
1.11,105.1
1.12,104.2
1.13,103.3
1.14,102.5
1.15,101.6
1.16,100.8
1.17,100
1.18,99.2
1.19,98.4
1.2,97.6
1.21,96.8
1.22,96
1.23,95.3
1.24,94.5
1.25,93.7
1.26,93
1.27,92.2
1.28,91.5
1.29,90.8
1.3,90.1
1.31,89.4
1.32,88.6
1.33,87.9
1.34,87.3
1.35,86.6
1.36,85.9
1.37,85.2
1.38,84.5
1.39,83.9
1.4,83.2
1.41,82.6
1.42,82
1.43,81.3
1.44,80.7
1.45,80.1
1.46,79.5
1.47,78.8
1.48,78.2
1.49,77.6
1.5,77.1
1.51,76.5
1.52,75.9
1.53,75.3
1.54,74.7
1.55,74.2
1.56,73.6
1.57,73.1
1.58,72.5
1.59,72
1.6,71.4
1.61,70.9
1.62,70.4
1.63,69.8
1.64,69.3
1.65,68.8
1.66,68.3
1.67,67.8
1.68,67.3
1.69,66.8
1.7,66.3
1.71,65.8
1.72,65.4
1.73,64.9
1.74,64.4
1.75,63.9
1.76,63.5
1.77,63
1.78,62.6
1.79,62.1
1.8,61.7
1.81,61.2
1.82,60.8
1.83,60.4
1.84,60
1.85,59.5
1.86,59.1
1.87,58.7
1.88,58.3
1.89,57.9
1.9,57.5
1.91,57.1
1.92,56.7
1.93,56.3
1.94,55.9
1.95,55.5
1.96,55.1
1.97,54.8
1.98,54.4
1.99,54
2,53.7
2.01,53.3
2.02,52.9
2.03,52.6
2.04,52.2
2.05,51.9
2.06,51.5
2.07,51.2
2.08,50.8
2.09,50.5
2.1,50.2
2.11,49.9
2.12,49.5
2.13,49.2
2.14,48.9
2.15,48.6
2.16,48.3
2.17,47.9
2.18,47.6
2.19,47.3
2.2,47
2.21,46.7
2.22,46.4
2.23,46.1
2.24,45.8
2.25,45.6
2.26,45.3
2.27,45
2.28,44.7
2.29,44.4
2.3,44.2
2.31,43.9
2.32,43.6
2.33,43.4
2.34,43.1
2.35,42.8
2.36,42.6
2.37,42.3
2.38,42.1
2.39,41.8
2.4,41.6
2.41,41.3
2.42,41.1
2.43,40.8
2.44,40.6
2.45,40.3
2.46,40.1
2.47,39.9
2.48,39.6
2.49,39.4
2.5,39.2
2.51,39
2.52,38.7
2.53,38.5
2.54,38.3
2.55,38.1
2.56,37.9
2.57,37.7
2.58,37.4
2.59,37.2
2.6,37
2.61,36.8
2.62,36.6
2.63,36.4
2.64,36.2
2.65,36
2.66,35.8
2.67,35.7
2.68,35.5
2.69,35.3
2.7,35.1
2.71,34.9
2.72,34.7
2.73,34.5
2.74,34.4
2.75,34.2
2.76,34
2.77,33.8
2.78,33.6
2.79,33.5
2.8,33.3
2.81,33.1
2.82,33
2.83,32.8
2.84,32.6
2.85,32.5
2.86,32.3
2.87,32.2
2.88,32
2.89,31.9
2.9,31.7
2.91,31.5
2.92,31.4
2.93,31.2
2.94,31.1
2.95,31
2.96,30.8
2.97,30.7
2.98,30.5
2.99,30.4
3,30.2
3.01,30.1
3.02,30
3.03,29.8
3.04,29.7
3.05,29.6
3.06,29.4
3.07,29.3
3.08,29.2
3.09,29
3.1,28.9
3.11,28.8
3.12,28.7
3.13,28.5
3.14,28.4
3.15,28.3
3.16,28.2
3.17,28
3.18,27.9
3.19,27.8
3.2,27.7
3.21,27.6
3.22,27.5
3.23,27.3
3.24,27.2
3.25,27.1
3.26,27
3.27,26.9
3.28,26.8
3.29,26.7
3.3,26.6
3.31,26.5
3.32,26.4
3.33,26.3
3.34,26.2
3.35,26.1
3.36,26
3.37,25.9
3.38,25.8
3.39,25.7
3.4,25.6
3.41,25.5
3.42,25.4
3.43,25.3
3.44,25.2
3.45,25.1
3.46,25
3.47,25
3.48,24.9
3.49,24.8
3.5,24.7
3.51,24.6
3.52,24.5
3.53,24.4
3.54,24.4
3.55,24.3
3.56,24.2
3.57,24.1
3.58,24
3.59,23.9
3.6,23.9
3.61,23.8
3.62,23.7
3.63,23.6
3.64,23.6
3.65,23.5
3.66,23.4
3.67,23.3
3.68,23.3
3.69,23.2
3.7,23.1
3.71,23
3.72,23
3.73,22.9
3.74,22.8
3.75,22.8
3.76,22.7
3.77,22.6
3.78,22.6
3.79,22.5
3.8,22.4
3.81,22.4
3.82,22.3
3.83,22.3
3.84,22.2
3.85,22.1
3.86,22.1
3.87,22
3.88,21.9
3.89,21.9
3.9,21.8
3.91,21.8
3.92,21.7
3.93,21.6
3.94,21.6
3.95,21.5
3.96,21.5
3.97,21.4
3.98,21.4
3.99,21.3
4,21.3
4.01,21.2
4.02,21.2
4.03,21.1
4.04,21.1
4.05,21
4.06,21
4.07,20.9
4.08,20.8
4.09,20.8
4.1,20.8
4.11,20.7
4.12,20.7
4.13,20.6
4.14,20.6
4.15,20.5
4.16,20.5
4.17,20.4
4.18,20.4
4.19,20.3
4.2,20.3
4.21,20.2
4.22,20.2
4.23,20.2
4.24,20.1
4.25,20.1
4.26,20
4.27,20
4.28,20
4.29,19.9
4.3,19.9
4.31,19.8
4.32,19.8
4.33,19.8
4.34,19.7
4.35,19.7
4.36,19.6
4.37,19.6
4.38,19.6
4.39,19.5
4.4,19.5
4.41,19.5
4.42,19.4
4.43,19.4
4.44,19.3
4.45,19.3
4.46,19.3
4.47,19.2
4.48,19.2
4.49,19.2
4.5,19.1
4.51,19.1
4.52,19.1
4.53,19
4.54,19
4.55,19
4.56,18.9
4.57,18.9
4.58,18.9
4.59,18.9
4.6,18.8
4.61,18.8
4.62,18.8
4.63,18.7
4.64,18.7
4.65,18.7
4.66,18.7
4.67,18.6
4.68,18.6
4.69,18.6
4.7,18.5
4.71,18.5
4.72,18.5
4.73,18.5
4.74,18.4
4.75,18.4
4.76,18.4
4.77,18.4
4.78,18.3
4.79,18.3
4.8,18.3
4.81,18.3
4.82,18.2
4.83,18.2
4.84,18.2
4.85,18.2
4.86,18.1
4.87,18.1
4.88,18.1
4.89,18.1
4.9,18
4.91,18
4.92,18
4.93,18
4.94,18
4.95,17.9
4.96,17.9
4.97,17.9
4.98,17.9
4.99,17.9
5,17.8
5.01,17.8
5.02,17.8
5.03,17.8
5.04,17.7
5.05,17.7
5.06,17.7
5.07,17.7
5.08,17.7
5.09,17.6
5.1,17.6
5.11,17.6
5.12,17.6
5.13,17.6
5.14,17.6
5.15,17.5
5.16,17.5
5.17,17.5
5.18,17.5
5.19,17.5
5.2,17.5
5.21,17.4
5.22,17.4
5.23,17.4
5.24,17.4
5.25,17.4
5.26,17.4
5.27,17.3
5.28,17.3
5.29,17.3
5.3,17.3
5.31,17.3
5.32,17.3
5.33,17.2
5.34,17.2
5.35,17.2
5.36,17.2
5.37,17.2
5.38,17.2
5.39,17.2
5.4,17.1
5.41,17.1
5.42,17.1
5.43,17.1
5.44,17.1
5.45,17.1
5.46,17.1
5.47,17
5.48,17
5.49,17
5.5,17
5.51,17
5.52,17
5.53,17
5.54,17
5.55,16.9
5.56,16.9
5.57,16.9
5.58,16.9
5.59,16.9
5.6,16.9
5.61,16.9
5.62,16.9
5.63,16.9
5.64,16.8
5.65,16.8
5.66,16.8
5.67,16.8
5.68,16.8
5.69,16.8
5.7,16.8
5.71,16.8
5.72,16.8
5.73,16.8
5.74,16.7
5.75,16.7
5.76,16.7
5.77,16.7
5.78,16.7
5.79,16.7
5.8,16.7
5.81,16.7
5.82,16.7
5.83,16.7
5.84,16.7
5.85,16.6
5.86,16.6
5.87,16.6
5.88,16.6
5.89,16.6
5.9,16.6
5.91,16.6
5.92,16.6
5.93,16.6
5.94,16.6
5.95,16.6
5.96,16.5
5.97,16.5
5.98,16.5
5.99,16.5
6,16.5
6.01,16.5
6.02,16.5
6.03,16.5
6.04,16.5
6.05,16.5
6.06,16.5
6.07,16.5
6.08,16.5
6.09,16.4
6.1,16.4
6.11,16.4
6.12,16.4
6.13,16.4
6.14,16.4
6.15,16.4
6.16,16.4
6.17,16.4
6.18,16.4
6.19,16.4
6.2,16.4
6.21,16.4
6.22,16.4
6.23,16.4
6.24,16.3
6.25,16.3
6.26,16.3
6.27,16.3
6.28,16.3
6.29,16.3
6.3,16.3
6.31,16.3
6.32,16.3
6.33,16.3
6.34,16.3
6.35,16.3
6.36,16.3
6.37,16.3
6.38,16.3
6.39,16.3
6.4,16.3
6.41,16.3
6.42,16.2
6.43,16.2
6.44,16.2
6.45,16.2
6.46,16.2
6.47,16.2
6.48,16.2
6.49,16.2
6.5,16.2
6.51,16.2
6.52,16.2
6.53,16.2
6.54,16.2
6.55,16.2
6.56,16.2
6.57,16.2
6.58,16.2
6.59,16.2
6.6,16.2
6.61,16.2
6.62,16.2
6.63,16.1
6.64,16.1
6.65,16.1
6.66,16.1
6.67,16.1
6.68,16.1
6.69,16.1
6.7,16.1
6.71,16.1
6.72,16.1
6.73,16.1
6.74,16.1
6.75,16.1
6.76,16.1
6.77,16.1
6.78,16.1
6.79,16.1
6.8,16.1
6.81,16.1
6.82,16.1
6.83,16.1
6.84,16.1
6.85,16.1
6.86,16.1
6.87,16.1
6.88,16.1
6.89,16
6.9,16
6.91,16
6.92,16.1
6.93,16
6.94,16
6.95,16
6.96,16
6.97,16
6.98,16
