FinalDrive,Grip_Fact,Time_75m_s,Reached75m,ErrorMessage
2.5,0.5,5.10814461914743,1,
2.6,0.5,5.00834747288739,1,
2.7,0.5,4.91425959199098,1,
2.8,0.5,4.82531513153595,1,
2.9,0.5,4.74110744369262,1,
3,0.5,4.66115914419697,1,
3.1,0.5,4.58522457122751,1,
3.2,0.5,4.5129026953912,1,
3.3,0.5,4.44391054790849,1,
3.4,0.5,4.37806620199575,1,
3.5,0.5,4.31530938208509,1,
3.6,0.5,4.25600905503248,1,
3.7,0.5,4.38694598406504,1,
3.8,0.5,4.54511127165873,1,
3.9,0.5,4.51738988022411,1,
4,0.5,4.54030831444168,1,
4.1,0.5,4.52247054364086,1,
4.2,0.5,4.51396875690147,1,
4.3,0.5,4.50044562663545,1,
4.4,0.5,4.48830408221868,1,
4.5,0.5,4.48203935683558,1,
4.6,0.5,4.47713847967855,1,
4.7,0.5,4.47326876139195,1,
4.8,0.5,4.47043294153617,1,
4.9,0.5,4.46812071043197,1,
5,0.5,4.46693144089118,1,
5.1,0.5,4.46857322022365,1,
5.2,0.5,4.46706507898552,1,
5.3,0.5,4.46582664462457,1,
5.4,0.5,4.46402849699718,1,
5.5,0.5,4.46133739385574,1,
5.6,0.5,4.45975032488486,1,
5.7,0.5,4.46388394768067,1,
5.8,0.5,4.461538839969,1,
5.9,0.5,4.45960048280024,1,
6,0.5,4.45922343325004,1,
6.1,0.5,4.45993848061111,1,
6.2,0.5,4.46407858316998,1,
6.3,0.5,4.46513115556299,1,
6.4,0.5,4.46811747860473,1,
6.5,0.5,4.46908298317514,1,
6.6,0.5,4.47179021766708,1,
6.7,0.5,4.47351016994874,1,
6.8,0.5,4.47464248879169,1,
6.9,0.5,4.47630731122478,1,
7,0.5,4.47753399358246,1,
7.1,0.5,4.48293321922921,1,
7.2,0.5,4.48475250215725,1,
7.3,0.5,4.48678726147805,1,
7.4,0.5,4.489266362883,1,
7.5,0.5,4.49101464017678,1,
7.6,0.5,4.49604487027931,1,
7.7,0.5,4.4993513798547,1,
7.8,0.5,4.50205949748984,1,
7.9,0.5,4.50433340128136,1,
8,0.5,4.50653885828537,1,
8.1,0.5,4.5117985078823,1,
8.2,0.5,4.51491406891405,1,
8.3,0.5,4.51837164373744,1,
