Time_s,Error
0,-0.131
3.15544362088405e-30,-0.131
6.31088724176809e-30,-0.131
1.953125e-07,-0.130984337624973
3.90625e-07,-0.130968920847973
5.79771739708058e-07,-0.130954220565669
7.69513481178138e-07,-0.130939697766232
9.59824965781697e-07,-0.130925353081173
1.1507103496027e-06,-0.130911184823486
1.34217332861037e-06,-0.130897191354708
1.53421761164656e-06,-0.130883371048091
1.72684693261009e-06,-0.130869722287625
1.92006507843824e-06,-0.130856243466063
2.11387584014044e-06,-0.130842932988355
2.30828310209449e-06,-0.130829789265496
2.5032907384582e-06,-0.130816810721677
2.69890267220166e-06,-0.130803995790205
2.89512281551271e-06,-0.130791342917382
3.09195516150652e-06,-0.130778850556494
3.28940377439161e-06,-0.13076651716864
3.48747266318628e-06,-0.130754341230606
3.68616598896249e-06,-0.130742321221964
3.88548783530333e-06,-0.130730455639183
4.08544239751571e-06,-0.130718742984076
4.28603386823143e-06,-0.130707181770685
4.48726651541822e-06,-0.130695770520692
4.68914462101257e-06,-0.130684507766979
4.89167251199544e-06,-0.130673392051816
5.09485458610508e-06,-0.130662421925496
5.29869521346946e-06,-0.130651595951645
5.50319887639072e-06,-0.130640912699677
5.70837008267045e-06,-0.130630370749507
5.91421334948401e-06,-0.13061996869228
6.12073328372862e-06,-0.130609705126268
6.32793450413994e-06,-0.130599578660829
6.53582168387184e-06,-0.130589587914238
6.74439954094202e-06,-0.130579731514176
6.95367284850959e-06,-0.130570008097241
7.16364640112066e-06,-0.130560416310514
7.37432506916305e-06,-0.130550954809029
7.58571376117525e-06,-0.130541622257528
7.79781744844946e-06,-0.130532417329362
8.01064112018706e-06,-0.130523338708432
8.22418982790838e-06,-0.130514385087222
8.43846869389441e-06,-0.1305055551665
8.65348285645703e-06,-0.130496847657578
8.86923753345103e-06,-0.130488261279678
9.08573801217209e-06,-0.130479794760415
9.30298957476541e-06,-0.130471446838689
9.52099759159165e-06,-0.130463216260988
9.73976752956609e-06,-0.130455101781192
9.95930483852656e-06,-0.130447102164805
1.01796150689531e-05,-0.13043921618454
1.0400703794889e-05,-0.130431442623139
1.06225766957275e-05,-0.130423780270463
1.08452394776534e-05,-0.130416227926276
1.10686979322812e-05,-0.130408784398203
1.1292957866133e-05,-0.130401448504088
1.15180251954868e-05,-0.130394219068836
1.1743905881382e-05,-0.130387094926576
1.19706059289673e-05,-0.130380074920629
1.21981314386301e-05,-0.130373157901905
1.24264886109682e-05,-0.130366342728839
1.26556836031788e-05,-0.13035962827165
1.28857227300807e-05,-0.130353013406308
1.31166123561098e-05,-0.130346497017792
1.33483589076377e-05,-0.130340077999703
1.3580968903776e-05,-0.1303337552534
1.3814448892198e-05,-0.130327527689756
1.40488055093174e-05,-0.13032139422748
1.42840454789955e-05,-0.130315353793187
1.45201755906618e-05,-0.130309405321972
1.47572027354691e-05,-0.130303547756502
1.49951338255863e-05,-0.130297780049004
1.52339759058444e-05,-0.130292101158501
1.54737360687402e-05,-0.130286510052898
1.57144215375501e-05,-0.130281005707023
1.59560395448732e-05,-0.130275587105426
1.61985974504563e-05,-0.130270253239652
1.64421026822046e-05,-0.130265003109589
1.66865627902769e-05,-0.130259835722298
1.69319853700809e-05,-0.130254750093663
1.71783781259022e-05,-0.130249745247018
1.74257488461029e-05,-0.130244820213673
1.76741054125107e-05,-0.130239974032717
1.79234558234686e-05,-0.130235205750576
1.81738081238229e-05,-0.130230514422359
1.84251704925791e-05,-0.130225899110161
1.86775511856524e-05,-0.130221358884155
1.89309585858214e-05,-0.130216892821674
1.91854011521308e-05,-0.13021250000812
1.94408874657142e-05,-0.130208179536154
1.96974261968663e-05,-0.130203930506255
1.99550261076358e-05,-0.130199752026657
2.02136961060706e-05,-0.130195643212463
2.04734451802813e-05,-0.130191603186719
2.07342824657008e-05,-0.130187631079347
2.09962171549801e-05,-0.130183726028528
2.12592586209798e-05,-0.130179887178832
2.15234163213965e-05,-0.130176113682663
2.17886998020977e-05,-0.130172404700156
2.20551187930194e-05,-0.130168759397828
2.23226831048754e-05,-0.130165176950037
2.25914026777714e-05,-0.130161656538283
2.28612876170442e-05,-0.130158197350754
2.31323481186182e-05,-0.130154798583301
2.3404594506707e-05,-0.130151459438919
2.36780372707438e-05,-0.130148179127303
2.39526870356391e-05,-0.130144956865225
2.42285545138344e-05,-0.130141791877074
2.45056506389249e-05,-0.1301386833933
2.47839864414799e-05,-0.130135630651859
2.50635731021375e-05,-0.130132632897584
2.53444219786591e-05,-0.130129689381904
2.56265445330539e-05,-0.13012679936361
2.59099524074939e-05,-0.130123962108045
2.61946574253614e-05,-0.130121176887112
2.64806715271855e-05,-0.130118442979909
2.67680068941071e-05,-0.130115759671529
2.70566757557263e-05,-0.130113126254873
2.7346690588063e-05,-0.130110542028779
2.76380640651922e-05,-0.130108006298508
2.7930808991552e-05,-0.130105518376337
2.82249383763876e-05,-0.130103077580897
2.85204653768371e-05,-0.130100683237644
2.88174033497376e-05,-0.13009833467842
2.91157658902645e-05,-0.130096031241165
2.94155667131232e-05,-0.130093772270839
2.9716819793999e-05,-0.130091557118324
3.00195392918849e-05,-0.130089385141027
3.03237395278936e-05,-0.130087255703001
3.0629435093064e-05,-0.130085168174181
