Time_s,Mu
0,1
5.6691999554816e-30,1
6.81617413467732e-09,1
4.08970448080639e-08,1
2.11301398174997e-07,1
8.546747819125e-07,1
1.50014874126267e-06,1
2.1469507941085e-06,1
2.79475483826294e-06,1
3.47802459533756e-06,1
4.19250657591331e-06,1
4.93511128521215e-06,1
5.70347077689683e-06,1
6.49576259137992e-06,1
7.31057427141244e-06,1
8.14679269693988e-06,1
9.00354720606548e-06,1
9.88016252257925e-06,1
1.07761149772353e-05,1
1.16910169106541e-05,1
1.26245914303415e-05,1
1.3576658787922e-05,1
1.45471263872052e-05,1
1.55359775575076e-05,1
1.65432627416972e-05,1
1.75690975953121e-05,1
1.86136555316386e-05,1
1.96771660960097e-05,1
2.07599098429904e-05,1
2.18622176347263e-05,1
2.29844716240797e-05,1
2.41271004470689e-05,1
2.52905806217559e-05,1
2.64754377815264e-05,1
2.76822437071795e-05,1
2.89116227362658e-05,1
3.0164248066805e-05,1
3.14408461325488e-05,1
3.27421981243487e-05,1
3.4069143872946e-05,1
3.54225831198596e-05,1
3.68034812557935e-05,1
3.821287183035e-05,1
3.96518632967261e-05,1
4.11216450098857e-05,1
4.26234925752258e-05,1
4.41587778924923e-05,1
4.57289774524392e-05,1
4.73356814886104e-05,1
4.89806102871369e-05,1
5.06656241405687e-05,1
5.23927462790358e-05,1
5.41641794653757e-05,1
5.59823329074652e-05,1
5.78498510784751e-05,1
5.97696513177274e-05,1
6.17449707574687e-05,1
6.37794205558311e-05,1
6.58770572028159e-05,1
6.80424809584013e-05,1
7.02809521173441e-05,1
7.25985564487662e-05,1
7.50024320135044e-05,1
7.75010838494229e-05,1
8.01048592535303e-05,1
8.28266568936222e-05,1
8.56830938632925e-05,1
8.86965147031733e-05,1
9.1898827344871e-05,1
9.53398387467559e-05,1
9.91094396938797e-05,1
0.000103423132440762,1
0.000108440371287514,1
0.000113328167964305,1
0.000117801822875649,1
0.000122172781016528,1
0.000126475327934966,1
0.000130748298712679,1
0.000135016099826328,1
0.000139296264133052,1
0.000143601998456693,1
0.000147943740813341,1
0.000152330087330079,1
0.000156768356872786,1
0.000161264983937934,1
0.000165825758219792,1
0.000170456026475975,1
0.000175160809835194,1
0.000179944902344821,1
0.00018481294700403,1
0.000189769502371813,1
0.000194819069477588,1
0.000199960773516196,1
0.000205195436287274,1
0.000210551290495277,1
0.00021601783705179,1
0.000221600345097246,1
0.00022730365330446,1
0.000233132727089191,1
0.000239092661343595,1
0.000245188704545164,1
0.000251426251206131,1
0.000257810848220172,1
0.000264348209947659,1
0.000271044190084802,1
0.000277904793819079,1
0.000284936152501962,1
0.000292144511603171,1
0.000299536173591228,1
0.0003071175019035,1
0.000314894827029031,1
0.000322874400093194,1
0.000331062312001299,1
0.000339464399633714,1
0.000348086119064584,1
0.000356932443666764,1
0.000366007706664884,1
0.000375315460149012,1
0.000384858347721855,1
0.00038840098899538,1
0.000388400988995383,1
0.000398180598015491,1
0.000408291151556224,1
0.000418628995377719,1
0.000429199027459091,1
0.000439998143823568,1
0.000451021586767048,1
0.000462263530162292,1
0.000473717431573655,1
0.000485376319465125,1
0.000497233089383631,1
0.000509280827734428,1
0.000521513073475191,1
0.00053392404327174,1
0.000546508873151448,1
0.000559263702353823,1
0.000572185801956947,1
0.000585273645565468,1
0.000598526895838578,1
0.000611946425440169,1
0.000625534295008259,1
0.000639293711132978,1
0.000653229035377955,1
0.000667345731343238,1
0.000681650384205503,1
0.000696150666562767,1
0.000710855399128318,1
0.000725774548859193,1
0.000740919325231769,1
0.000756302221968645,1
0.000771937174337166,1
0.000787839706319515,1
0.000804027068461387,1
0.000820518546763987,1
0.000837335737166349,1
0.000854502955042776,1
0.000872047764574895,1
0.000890001623671207,1
0.000901291800803309,1
0.000901291800803316,1
0.00091969095167111,1
0.000938858076621499,1
0.000958625860897912,1
0.000979039320378248,1
0.00100017749818678,1
0.00102214687726076,1
0.00104509006579234,1
0.00106920696460608,1
0.00109479861959877,1
0.00112237237628539,1
0.00115296836058683,1
0.00118686372986162,1
0.00122313752806553,1
0.0012573776756233,1
0.00128891273901267,1
0.00131924322969571,1
0.00134891698922749,1
0.0013782163346908,1
0.00140731818717731,1
0.0014363447175917,1
0.00146538618886163,1
0.00149451278210837,1
0.00152378134629707,1
0.00155323948109406,1
0.00158292827079821,1
0.00161288395743995,1
0.00164313921749044,1
0.00167372405569061,1
0.00170466641818191,1
0.00173599273197976,1
0.00176772827444624,1
0.00179989744980243,1
0.00183252400621144,1
0.0018656313330589,1
0.00189904043080941,1
0.00193251395210227,1
0.00196607322173031,1
0.00199973768644297,1
0.00203352530818407,1
0.00206745267309734,1
0.00210153517146213,1
0.00213578715193899,1
0.00217022209809058,1
0.0022048527170723,1
0.00223969103326717,1
0.00227474849397435,1
0.00231003602196037,1
0.00234556409289614,1
0.00238134274340162,1
0.0024173816775221,1
0.00245369026189712,1
0.0024902775627786,1
0.0025271523918695,1
0.00256432333494633,1
0.00260179874592896,1
0.00263958679184206,1
0.00267769548438116,1
0.0027161326517092,1
0.00271807131907027,1
0.00271844482795676,1
0.00271881833684326,1
0.00271927400228981,1
0.00271937701359937,1
0.00271941440971751,1
0.00271945180583564,1
0.00271949466183422,1
0.0027197089418271,1
0.00272078034179153,1
0.00272613734161368,1
0.00275292234072441,1
0.00280757785647888,1
0.0028633214822992,1
0.00292042666232865,1
0.00297892239405701,1
