Time_s,Velocity_mps
0,0.0001
3.15544362088405e-30,0.0001
1.220703125e-07,9.99863823662664e-05
2.44140625e-07,9.99729495706943e-05
4.33195289106076e-07,9.99524046058294e-05
6.22531237249387e-07,9.99321407322308e-05
8.12439607242131e-07,9.99121237717251e-05
1.00291899373621e-06,9.98923519847831e-05
1.19397311580909e-06,9.98728230939606e-05
1.3856056049e-06,9.98535348483857e-05
1.57782023528446e-06,9.98344850001121e-05
1.77062074191866e-06,9.98156713225988e-05
1.96401091153121e-06,9.9797091601467e-05
2.15799456218983e-06,9.97787436365519e-05
2.35257556811847e-06,9.97606252395853e-05
2.54775780188855e-06,9.97427342396048e-05
2.74354516040327e-06,9.97250684803594e-05
2.93994162599825e-06,9.9707625814846e-05
3.13695121318156e-06,9.96904041102739e-05
3.33457791415345e-06,9.96734012526771e-05
3.53282582636583e-06,9.96566151357925e-05
3.73169906252021e-06,9.96400436689563e-05
3.9312017065097e-06,9.96236847805295e-05
4.13133799956362e-06,9.96075364025581e-05
4.3321121289978e-06,9.9591596488177e-05
4.53352838803441e-06,9.95758629986219e-05
4.73559106121825e-06,9.95603339123794e-05
4.93830447375629e-06,9.95450072211742e-05
5.14167301521625e-06,9.95298809282187e-05
5.3457011021126e-06,9.95149530510648e-05
5.55039322764885e-06,9.95002216179586e-05
5.755753864003e-06,9.94856846748985e-05
5.96178757394467e-06,9.94713402775484e-05
6.16849893886795e-06,9.9457186496395e-05
6.37589261759172e-06,9.94432214126705e-05
6.58397329401915e-06,9.94294431219694e-05
6.79274567590292e-06,9.94158497342093e-05
7.00221456312698e-06,9.9402439369172e-05
7.21238475268342e-06,9.93892101626768e-05
7.42326111898621e-06,9.93761602613799e-05
7.63484859735631e-06,9.93632878239241e-05
7.84715213034441e-06,9.93505910241796e-05
8.06017674492221e-06,9.9338068046526e-05
8.27392751603746e-06,9.9325717088112e-05
8.48840953034229e-06,9.93135363608785e-05
8.70362799142002e-06,9.93015240855388e-05
8.91958811805471e-06,9.92896784974212e-05
9.13629516829735e-06,9.92779978449966e-05
9.35375446101412e-06,9.92664803886778e-05
9.57197140203021e-06,9.92551243994986e-05
9.79095142036007e-06,9.92439281624876e-05
1.00107000067787e-05,9.92328899745951e-05
1.02312227140994e-05,9.92220081446993e-05
1.04525251474827e-05,9.92112809940887e-05
1.06746129718081e-05,9.92007068560845e-05
1.08974919093885e-05,9.91902840761458e-05
1.11211677726166e-05,9.91800110103699e-05
1.13456463977418e-05,9.91698860285685e-05
1.15709336825594e-05,9.91599075124539e-05
1.17970356282655e-05,9.91500738538289e-05
1.20239582469982e-05,9.91403834586526e-05
1.22517076528966e-05,9.91308347430443e-05
1.24802900012484e-05,9.91214261359033e-05
1.27097115594582e-05,9.91121560759681e-05
1.29399785929818e-05,9.91030230164617e-05
1.31710974801564e-05,9.90940254203995e-05
1.34030746928973e-05,9.90851617614763e-05
1.36359167251261e-05,9.90764305268019e-05
1.38696301593258e-05,9.90678302142961e-05
1.41042216613408e-05,9.90593593329278e-05
1.43396979553595e-05,9.90510164036221e-05
1.45760658494431e-05,9.90427999583216e-05
1.48133322239999e-05,9.90347085403994e-05
1.50515040380461e-05,9.90267407044318e-05
1.52905883759117e-05,9.90188950146787e-05
1.55305923239141e-05,9.90111700491535e-05
1.57715230816775e-05,9.90035643958935e-05
1.60133879480878e-05,9.89960766534847e-05
1.62561942836225e-05,9.89887054322381e-05
1.6499949544674e-05,9.8981449353106e-05
1.67446612566614e-05,9.89743070484844e-05
1.69903370604409e-05,9.89672771608426e-05
1.723698469362e-05,9.89603583433148e-05
1.74846119299923e-05,9.89535492613617e-05
1.77332266984021e-05,9.89468485894448e-05
1.79828370007338e-05,9.89402550133344e-05
1.82334509035039e-05,9.89337672302637e-05
1.84850766170888e-05,9.89273839468535e-05
1.87377224114883e-05,9.89211038813008e-05
1.89913966738948e-05,9.89149257618865e-05
1.92461078865022e-05,9.89088483275373e-05
1.95018646635455e-05,9.89028703269471e-05
1.97586756735125e-05,9.88969905204022e-05
2.00165497291628e-05,9.88912076776578e-05
2.02754957358122e-05,9.88855205791445e-05
2.05355227359593e-05,9.88799280149755e-05
2.07966398364662e-05,9.88744287865187e-05
2.10588562997112e-05,9.88690217044248e-05
2.13221814897447e-05,9.88637055897883e-05
2.15866249049213e-05,9.88584792734719e-05
2.18521961107092e-05,9.88533415974204e-05
2.21189048530185e-05,9.88482914124236e-05
2.23867609825782e-05,9.88433275796155e-05
2.26557744521778e-05,9.88384489704787e-05
2.29259554014293e-05,9.88336544653035e-05
2.31973140275399e-05,9.88289429555137e-05
