Time_s,Slip_Ratio
0,-0.001
3.15544362088405e-30,-0.001
6.31088724176809e-30,-0.001
1.953125e-07,-0.00098433762497303
3.90625e-07,-0.000968920847972819
5.79771739708058e-07,-0.000954220565669195
7.69513481178138e-07,-0.000939697766232039
9.59824965781697e-07,-0.000925353081173336
1.1507103496027e-06,-0.000911184823485716
1.34217332861037e-06,-0.000897191354708216
1.53421761164656e-06,-0.000883371048090678
1.72684693261009e-06,-0.000869722287625289
1.92006507843824e-06,-0.000856243466063297
2.11387584014044e-06,-0.000842932988354805
2.30828310209449e-06,-0.000829789265495743
2.5032907384582e-06,-0.000816810721676803
2.69890267220166e-06,-0.000803995790204838
2.89512281551271e-06,-0.00079134291738225
3.09195516150652e-06,-0.000778850556493636
3.28940377439161e-06,-0.000766517168640169
3.48747266318628e-06,-0.000754341230605878
3.68616598896249e-06,-0.000742321221963812
3.88548783530333e-06,-0.000730455639183185
4.08544239751571e-06,-0.000718742984076486
4.28603386823143e-06,-0.000707181770684891
4.48726651541822e-06,-0.000695770520691545
4.68914462101257e-06,-0.000684507766979293
4.89167251199544e-06,-0.000673392051816093
5.09485458610508e-06,-0.000662421925495529
5.29869521346946e-06,-0.000651595951644833
5.50319887639072e-06,-0.000640912699676862
5.70837008267045e-06,-0.000630370749506662
5.91421334948401e-06,-0.000619968692280061
6.12073328372862e-06,-0.000609705126268133
6.32793450413994e-06,-0.000599578660828562
6.53582168387184e-06,-0.000589587914238235
6.74439954094202e-06,-0.000579731514175664
6.95367284850959e-06,-0.000570008097240582
7.16364640112066e-06,-0.000560416310513504
7.37432506916305e-06,-0.000550954809028554
7.58571376117525e-06,-0.000541622257528233
7.79781744844946e-06,-0.000532417329362355
8.01064112018706e-06,-0.000523338708431704
8.22418982790838e-06,-0.000514385087222024
8.43846869389441e-06,-0.000505555166500301
8.65348285645703e-06,-0.000496847657578433
8.86923753345103e-06,-0.000488261279678444
9.08573801217209e-06,-0.000479794760415475
9.30298957476541e-06,-0.000471446838689468
9.52099759159165e-06,-0.00046321626098848
9.73976752956609e-06,-0.000455101781192181
9.95930483852656e-06,-0.000447102164805379
1.01796150689531e-05,-0.000439216184540146
1.0400703794889e-05,-0.00043144262313858
1.06225766957275e-05,-0.000423780270462545
1.08452394776534e-05,-0.000416227926275585
1.10686979322812e-05,-0.000408784398202779
1.1292957866133e-05,-0.000401448504088356
1.15180251954868e-05,-0.0003942190688359
1.1743905881382e-05,-0.000387094926575946
1.19706059289673e-05,-0.000380074920628712
1.21981314386301e-05,-0.000373157901904665
1.24264886109682e-05,-0.000366342728839321
1.26556836031788e-05,-0.000359628271650328
1.28857227300807e-05,-0.000353013406307714
1.31166123561098e-05,-0.000346497017792503
1.33483589076377e-05,-0.000340077999702878
1.3580968903776e-05,-0.000333755253400239
1.3814448892198e-05,-0.000327527689756377
1.40488055093174e-05,-0.000321394227480144
1.42840454789955e-05,-0.000315353793186755
1.45201755906618e-05,-0.000309405321972503
1.47572027354691e-05,-0.000303547756502462
1.49951338255863e-05,-0.000297780049003699
1.52339759058444e-05,-0.000292101158500527
1.54737360687402e-05,-0.000286510052898198
1.57144215375501e-05,-0.000281005707023144
1.59560395448732e-05,-0.000275587105426098
1.61985974504563e-05,-0.000270253239651693
1.64421026822046e-05,-0.000265003109588741
1.66865627902769e-05,-0.000259835722298112
1.69319853700809e-05,-0.00025475009366319
1.71783781259022e-05,-0.000249745247018159
1.74257488461029e-05,-0.000244820213673302
1.76741054125107e-05,-0.000239974032716562
1.79234558234686e-05,-0.00023520575057613
1.81738081238229e-05,-0.000230514422358947
1.84251704925791e-05,-0.000225899110161326
1.86775511856524e-05,-0.000221358884155227
1.89309585858214e-05,-0.00021689282167371
1.91854011521308e-05,-0.000212500008120408
1.94408874657142e-05,-0.000208179536153555
1.96974261968663e-05,-0.00020393050625499
1.99550261076358e-05,-0.000199752026657395
2.02136961060706e-05,-0.000195643212463313
2.04734451802813e-05,-0.000191603186718833
2.07342824657008e-05,-0.000187631079346637
2.09962171549801e-05,-0.000183726028527778
2.12592586209798e-05,-0.000179887178832242
2.15234163213965e-05,-0.00017611368266324
2.17886998020977e-05,-0.000172404700155793
2.20551187930194e-05,-0.00016875939782802
2.23226831048754e-05,-0.000165176950037317
2.25914026777714e-05,-0.000161656538283163
2.28612876170442e-05,-0.000158197350754073
2.31323481186182e-05,-0.000154798583300726
2.3404594506707e-05,-0.000151459438919129
2.36780372707438e-05,-0.000148179127303055
2.39526870356391e-05,-0.000144956865225223
2.42285545138344e-05,-0.00014179187707392
2.45056506389249e-05,-0.000138683393300021
2.47839864414799e-05,-0.000135630651859003
2.50635731021375e-05,-0.000132632897583796
2.53444219786591e-05,-0.00012968938190374
2.56265445330539e-05,-0.000126799363610311
2.59099524074939e-05,-0.000123962108044671
2.61946574253614e-05,-0.000121176887112221
2.64806715271855e-05,-0.000118442979908966
2.67680068941071e-05,-0.000115759671528606
2.70566757557263e-05,-0.00011312625487326
2.7346690588063e-05,-0.000110542028778933
2.76380640651922e-05,-0.000108006298507982
2.7930808991552e-05,-0.000105518376337483
2.82249383763876e-05,-0.000103077580896952
2.85204653768371e-05,-0.000100683237643906
2.88174033497376e-05,-9.83346784200362e-05
2.91157658902645e-05,-9.60312411646718e-05
2.94155667131232e-05,-9.37722708387525e-05
2.9716819793999e-05,-9.1557118324232e-05
3.00195392918849e-05,-8.93851410268396e-05
3.03237395278936e-05,-8.72557030010313e-05
3.0629435093064e-05,-8.51681741810121e-05
3.09366407375418e-05,-8.31219311562925e-05
3.12453714890472e-05,-8.11163563615839e-05
3.15556425610953e-05,-7.91508386947077e-05
3.18674694086367e-05,-7.72247731429213e-05
3.21808677110641e-05,-7.53375608906353e-05
3.249585338365e-05,-7.34886092429226e-05
3.28124425628704e-05,-7.16773317034949e-05
3.31306516412453e-05,-6.99031477640028e-05
3.34504973081421e-05,-6.81654826882773e-05
3.37719964467477e-05,-6.64637680778687e-05
3.40951662098373e-05,-6.47974414385064e-05
3.44200240788806e-05,-6.31659458885727e-05
3.47465877251086e-05,-6.15687308655058e-05
3.50748751464558e-05,-6.00052514237374e-05
3.54049046199631e-05,-5.84749684788773e-05
3.57366947148019e-05,-5.69773487416213e-05
3.60702642306886e-05,-5.55118649809113e-05
3.64056323560573e-05,-5.40779953134996e-05
3.67428185735296e-05,-5.26752236375414e-05
3.70818426358117e-05,-5.13030397148511e-05
3.74227246474058e-05,-4.99609388234246e-05
3.77654850564976e-05,-4.86484217994182e-05
3.8110144622314e-05,-4.73649951593499e-05
3.84567244220878e-05,-4.61101710567156e-05
3.88052459990622e-05,-4.48834667505004e-05
3.91557311106268e-05,-4.3684405505982e-05
3.95082019906388e-05,-4.25125156588032e-05
3.98626811595567e-05,-4.13673312664731e-05
4.02191915621277e-05,-4.02483916356738e-05
4.05777565839276e-05,-3.91552412859853e-05
4.0938399967017e-05,-3.80874302114591e-05
4.13011458547559e-05,-3.7044513728093e-05
4.16660187850527e-05,-3.60260524828934e-05
4.20330437919262e-05,-3.50316121669552e-05
4.24022463233844e-05,-3.40607637492726e-05
4.27736522551083e-05,-3.31130834260035e-05
4.3147287986683e-05,-3.21881523714696e-05
4.3523180345525e-05,-3.12855569829424e-05
4.39013566267956e-05,-3.04048887666728e-05
4.42818446476177e-05,-2.95457442060559e-05
4.46646727170875e-05,-2.87077248298333e-05
4.50498697241025e-05,-2.78904370175485e-05
4.54374650198386e-05,-2.70934922510964e-05
4.58274884894056e-05,-2.63165069452698e-05
4.62199706606581e-05,-2.55591022318443e-05
4.66149425404797e-05,-2.48209042802181e-05
4.70124358233544e-05,-2.41015438916286e-05
4.74124827588645e-05,-2.34006567505862e-05
4.78151161913381e-05,-2.27178833386094e-05
4.82203696367633e-05,-2.20528687975438e-05
4.86282772367024e-05,-2.14052630055307e-05
4.90388738003755e-05,-2.07747205006237e-05
4.94521948639396e-05,-2.01609003881645e-05
4.98682765935127e-05,-1.95634664817362e-05
5.02871559434771e-05,-1.89820870631792e-05
5.07088706288066e-05,-1.84164349285899e-05
5.11334589860276e-05,-1.78661875631237e-05
5.15609603359825e-05,-1.73310266574708e-05
5.19914146757955e-05,-1.68106385114052e-05
5.24248628531051e-05,-1.63047138002277e-05
5.28613465511925e-05,-1.58129475901083e-05
5.33009083430484e-05,-1.53350392714376e-05
5.37435917328047e-05,-1.48706925131609e-05
5.41894410878617e-05,-1.44196153300125e-05
5.46385016934835e-05,-1.39815200128478e-05
5.50908199329604e-05,-1.3556122950726e-05
5.55464431197054e-05,-1.31431447948243e-05
5.60054195859027e-05,-1.27423103631618e-05
5.64677987123909e-05,-1.2353348607103e-05
5.69336310180249e-05,-1.197599253161e-05
5.74029681880426e-05,-1.16099791736049e-05
5.78758629792771e-05,-1.12550496705794e-05
5.83523693814505e-05,-1.09109491266575e-05
5.88325426096661e-05,-1.05774266162583e-05
5.93164392512433e-05,-1.02542350802109e-05
5.98041169581367e-05,-9.9411315255388e-06
6.02956349838599e-05,-9.63787666294301e-06
6.07910538434862e-05,-9.34423512856486e-06
6.12904354105864e-05,-9.0599754070361e-06
6.17938432439125e-05,-8.78486964107209e-06
6.23013423173247e-05,-8.51869378590557e-06
6.28129991399012e-05,-8.26122753029782e-06
6.33288819571531e-05,-8.01225418997617e-06
6.38490606177339e-05,-7.77156077158043e-06
6.43736067178231e-05,-7.5389378947693e-06
6.49025937061184e-05,-7.31417974218242e-06
6.54360967912285e-05,-7.09708409393493e-06
6.59741931070709e-05,-6.88745224859392e-06
6.65169618136346e-05,-6.68508897969122e-06
6.70644842238875e-05,-6.48980248738447e-06
6.76168434778308e-05,-6.30140450714046e-06
6.81741253927228e-05,-6.11971000853424e-06
6.87364176479414e-05,-5.9445374707728e-06
6.93038103531225e-05,-5.77570867976525e-06
6.98763961154866e-05,-5.61304870702018e-06
7.04542700709791e-05,-5.4563858972399e-06
7.10375299726267e-05,-5.30555183784819e-06
7.16262763935629e-05,-5.16038130165576e-06
7.22206124692412e-05,-5.02071230352267e-06
7.28206444744508e-05,-4.88638595151706e-06
7.34264818267247e-05,-4.75724644972267e-06
7.40382368396311e-05,-4.63314114372437e-06
7.46560251644728e-05,-4.51392041588862e-06
7.52799660559214e-05,-4.39943763258095e-06
7.59101819078796e-05,-4.28954922348216e-06
7.65467991012579e-05,-4.18411451842305e-06
7.71899479013009e-05,-4.08299576786311e-06
7.78397623727867e-05,-3.98605814839434e-06
7.84963808073977e-05,-3.89316968766012e-06
7.91599457631416e-05,-3.80420125335732e-06
7.98306042956974e-05,-3.71902651375358e-06
8.05085081080013e-05,-3.63752191112859e-06
8.11938140510883e-05,-3.55956659594227e-06
8.18866838551027e-05,-3.48504245371211e-06
8.2587284629179e-05,-3.41383403935854e-06
8.32957890275624e-05,-3.34582855391041e-06
8.40123754870325e-05,-3.28091581369957e-06
8.47372284902683e-05,-3.21898821829803e-06
8.5470539021532e-05,-3.15994070472449e-06
8.62125045917648e-05,-3.10367073948578e-06
8.69633297794884e-05,-3.05007826859079e-06
8.77232261923322e-05,-2.99906571258051e-06
8.84924131717933e-05,-2.95053790828694e-06
8.92711181821921e-05,-2.90440207869816e-06
9.00595769302915e-05,-2.86056781864763e-06
9.08580340882406e-05,-2.81894704543166e-06
9.16667431953935e-05,-2.77945399576317e-06
9.24859677997647e-05,-2.7420051589072e-06
9.33159819253596e-05,-2.706519251462e-06
9.41570698091119e-05,-2.67291722035338e-06
9.50095269157832e-05,-2.64112218818191e-06
9.58736616209012e-05,-2.61105938512753e-06
9.6749793496439e-05,-2.58265620345363e-06
9.76382562940107e-05,-2.55584208382601e-06
9.85393974883252e-05,-2.53054852682982e-06
9.94535789259478e-05,-2.50670906246255e-06
0.00010038117892839,-2.48425918599924e-06
0.000101322591545302,-2.46313637029079e-06
0.000102278228542088,-2.44328000744139e-06
0.0001032485201573,-2.42463138497553e-06
0.000104233916633815,-2.40713364737898e-06
0.000105234888521013,-2.39073178166213e-06
0.00010625192861002,-2.37537257342542e-06
0.000107285553750509,-2.3610045709848e-06
0.000108336305246141,-2.34757807085324e-06
0.000109404751301956,-2.33504507420767e-06
0.000110491488308834,-2.32335926196033e-06
0.00011159714395311,-2.31247595127904e-06
0.000112722376934516,-2.30235208875342e-06
0.00011386788198218,-2.2929461918918e-06
0.000115034390980808,-2.28421833264444e-06
0.000116222674369654,-2.27613011431191e-06
0.000117433546372255,-2.26864462277797e-06
0.000118667867231009,-2.26172640375703e-06
0.000119926546525298,-2.25534143262951e-06
0.000121210546322053,-2.24945708594541e-06
0.00012252088793403,-2.24404209857673e-06
0.000123858652897432,-2.23906654921578e-06
0.00012522499127567,-2.23450181534372e-06
0.000126621125899195,-2.2303205485023e-06
0.000128048358883907,-2.22649664217034e-06
0.000129508077462313,-2.22300520322927e-06
0.000131001763125409,-2.21982251662409e-06
0.000132530998962962,-2.21692601706994e-06
0.000134097481256449,-2.214294253888e-06
0.000135703027840101,-2.21190686434399e-06
0.00013734959070879,-2.20974454059132e-06
0.000139039270271669,-2.20778899719145e-06
0.000140774329473995,-2.20602294098989e-06
0.000142557210765823,-2.20443003928864e-06
0.000144390556190737,-2.20299488727039e-06
0.000146277230470966,-2.20170297551541e-06
0.000148220342687254,-2.20054066029954e-06
0.000150223279483609,-2.19949512812823e-06
0.00015228973381055,-2.19855436565922e-06
0.000154423743738588,-2.19770712571175e-06
0.000156629742450994,-2.19694289160417e-06
0.000158912599104909,-2.19625184711894e-06
0.000161277687692103,-2.19562483839825e-06
0.000163730953518324,-2.19505333991183e-06
0.000166278991911802,-2.19452941868669e-06
0.00016892915194961,-2.19404569517135e-06
0.000171689655309906,-2.19359530399788e-06
0.000174569726972122,-2.19317185453987e-06
0.000177579768238819,-2.19276938657071e-06
0.000180731566756756,-2.19238232330163e-06
0.000184038538864121,-2.19200542236415e-06
0.000187516043493805,-2.19163372012322e-06
0.000191181763612958,-2.19126247067683e-06
0.000195056195812629,-2.19088707553692e-06
0.0001991632649327,-2.19050300289615e-06
0.000203531094817315,-2.19010569365823e-06
0.000208193050398089,-2.18969044398033e-06
0.000213189051397693,-2.18925226481601e-06
0.000218567404847895,-2.1887856965689e-06
0.00022438718860363,-2.18828457632794e-06
0.000230721578691904,-2.18774172319083e-06
0.000237662609242025,-2.18714849927533e-06
0.000245327777481319,-2.1864942096773e-06
0.000253869895879253,-2.18576521880884e-06
0.000263491441025523,-2.18494367152687e-06
0.00027446620725649,-2.18400557009765e-06
0.000287169056610508,-2.18291812302285e-06
0.00030210824032903,-2.18163681353143e-06
0.000319898781746671,-2.18010744824196e-06
0.000340895330431119,-2.17829755445317e-06
0.000364175878205447,-2.17628455782601e-06
0.000387860318743137,-2.17422994774097e-06
0.000411078946676473,-2.1722092261469e-06
0.00043388537341469,-2.17021812349292e-06
0.000456579992373803,-2.16823065746241e-06
0.000479314710050546,-2.16623358189231e-06
0.000502105426067385,-2.16422548907715e-06
0.000524911629906897,-2.16220994741454e-06
0.000547707507489819,-2.16018926398479e-06
0.00057048610414976,-2.15816409401248e-06
0.000593252417584121,-2.15613403254741e-06
0.00061601144512538,-2.15409866926948e-06
0.000638764589622821,-2.15205791138061e-06
0.000661511234389172,-2.15001184644881e-06
0.000684251044854357,-2.14796053710453e-06
0.00070698355369208,-2.14590405825529e-06
0.000729709452479426,-2.14384237990812e-06
0.000752428346112606,-2.14177557026612e-06
0.000775140816212817,-2.13970360861155e-06
0.000797846493964984,-2.13762656061005e-06
0.000820545861815258,-2.13554441401298e-06
0.000843238876717336,-2.13345720439763e-06
0.0008659257562506,-2.13136494322402e-06
0.00088860624203171,-2.12926768571883e-06
0.000911280904531277,-2.12716541032445e-06
0.000933948962398708,-2.1250582206646e-06
0.000956610919366407,-2.12294610110671e-06
0.000979267840794461,-2.12082898289447e-06
0.00100191899127961,-2.11870696507761e-06
0.00102456425984115,-2.11658008860495e-06
0.00104720386099967,-2.11444836375826e-06
0.00106983749456198,-2.11231184917864e-06
0.00109246565354793,-2.11017052854817e-06
0.00111508884410403,-2.10802438375715e-06
0.00113770685944378,-2.10587346402146e-06
0.00116031929057767,-2.10371783796877e-06
0.00118292725668505,-2.10155742831663e-06
0.00120552967501418,-2.09939236784645e-06
0.00122812715205276,-2.09722262786293e-06
0.00125071953368324,-2.09504825232816e-06
0.00127330749844929,-2.09286920484534e-06
0.00129589066435639,-2.09068555099569e-06
0.00131846965938819,-2.08849725863059e-06
0.00134104355653608,-2.0863044461895e-06
0.00136361334217154,-2.08410704636013e-06
0.00138617852724693,-2.08190513501874e-06
0.00140873924247738,-2.0796987277166e-06
0.00143129598460309,-2.07748780390048e-06
0.00145384804045311,-2.07527246149646e-06
0.0014763960139572,-2.07305266916623e-06
0.00149894021648407,-2.07082842387606e-06
0.00152148018489044,-2.06859979891679e-06
0.00154401670333365,-2.06636674418079e-06
0.00156654883424487,-2.06412937997101e-06
0.00158907742061342,-2.06188764994498e-06
0.00161160263517501,-2.05964156389075e-06
0.00163412387215239,-2.05739120925544e-06
0.00165664166088954,-2.05513656014562e-06
0.00167915553380426,-2.05287769029027e-06
0.001701666102192,-2.05061456515674e-06
0.00172417339018776,-2.04834720885809e-06
0.00174667752974315,-2.04607563452768e-06
0.00176917846032155,-2.04379987461649e-06
0.00179167605979675,-2.04151996780654e-06
0.00181417053299848,-2.03923591958173e-06
0.00183666235377312,-2.03694770780483e-06
0.00185915109811083,-2.03465540151064e-06
0.00188163679445025,-2.03235902375255e-06
0.00190411935292634,-2.0300586096144e-06
0.00192659894879695,-2.02775416698335e-06
0.00194907597287626,-2.02544568138897e-06
0.00197155060274038,-2.02313315996258e-06
0.00199402249688299,-2.02081666319942e-06
0.00201649130213589,-2.01849625299687e-06
0.00203895771527318,-2.01617188273328e-06
0.00206142220881612,-2.01384352846879e-06
0.00208388429552461,-2.01151126559719e-06
0.0021063441700397,-2.00917509882596e-06
0.00212880190344461,-2.00683504554785e-06
0.00215125711849437,-2.00449116988436e-06
0.00217371027429696,-2.00214344864698e-06
0.00219616117678406,-1.99979192673155e-06
0.00221860977720529,-1.99743663385567e-06
0.002241057431672,-1.99507745194497e-06
0.00226350256189573,-1.992714571083e-06
0.0022859464384315,-1.99034788175286e-06
0.00230838801356282,-1.9879775185603e-06
0.00233082788583446,-1.98560344247335e-06
0.00235326603656515,-1.98322567945066e-06
0.00237570246381966,-1.98084425363172e-06
0.00239813734092194,-1.97845917045597e-06
0.00242057137492165,-1.97607037831634e-06
0.00244300390724012,-1.97367797083491e-06
0.00246543491968566,-1.97128197356795e-06
0.00248786440610074,-1.9688824107433e-06
0.00251029249815838,-1.96647929176115e-06
0.00253271982376172,-1.96407257259176e-06
0.00255514550639223,-1.9616623705534e-06
0.00257757038617489,-1.95924861857177e-06
0.00259999336796908,-1.95683145775213e-06
0.0026224164773154,-1.95441069270023e-06
0.00264483750540901,-1.95198658482277e-06
0.00266725849483053,-1.94955893622156e-06
0.00268967844619164,-1.94712787775098e-06
0.00271209754223283,-1.94469341238419e-06
0.00273451563141146,-1.94225557931143e-06
0.00275693372792794,-1.93981429073064e-06
0.00277935075903807,-1.93736968591421e-06
0.00280176763550833,-1.93492168798612e-06
0.00282418340357557,-1.93247042350731e-06
0.00284659890963154,-1.93001582230633e-06
0.00286901385741574,-1.92755793903944e-06
0.00289142824929498,-1.92509679568204e-06
0.00291384260634501,-1.92263235709178e-06
0.00293625674519062,-1.92016466538488e-06
0.00295867002425946,-1.91769381328475e-06
0.00298108349267466,-1.91521970709208e-06
0.00300349680640684,-1.91274240654286e-06
0.0030259105026899,-1.91026187393236e-06
0.0030483235235557,-1.90777824808939e-06
0.00307073696380047,-1.90529142939043e-06
0.00309315008872775,-1.90280152092493e-06
0.00311556374603414,-1.90030845002872e-06
0.0031379773879359,-1.89781229903408e-06
0.00316039104863882,-1.89531308559859e-06
0.00318280525137896,-1.89281077269039e-06
0.00320521942089249,-1.89030544581127e-06
0.00322763397356969,-1.88779707969012e-06
0.00325004918859799,-1.8852856641742e-06
0.0032724645723763,-1.88277127565869e-06
0.00329488056330321,-1.88025388603037e-06
0.00331729723161579,-1.87773350832527e-06
0.00333971420437771,-1.87521020541533e-06
0.00336213218059821,-1.87268391945906e-06
0.00338455049326489,-1.87015474641645e-06
0.00340696968612215,-1.86762264572238e-06
0.00342938975914791,-1.86508763801759e-06
0.0034518108361472,-1.86254972987915e-06
0.00347423214521008,-1.86000902934006e-06
0.00349665444515068,-1.85746547103608e-06
0.00351907752292008,-1.85491909961873e-06
0.00354150226314102,-1.85236983495354e-06
0.0035639278689147,-1.84981778790383e-06
0.00358635410514785,-1.84726300564189e-06
0.00360878157442147,-1.84470543983914e-06
0.00363121056291348,-1.84214507798335e-06
0.00365364065942111,-1.83958198712305e-06
0.00367607166156719,-1.83701621056292e-06
0.00369850481024021,-1.834447626329e-06
0.00372093865204083,-1.83187642079874e-06
0.00374337426270688,-1.82930249067358e-06
0.00376581087448937,-1.82672594394004e-06
0.00378824895199088,-1.82414674716622e-06
0.00381068884855836,-1.82156487948731e-06
0.00383312988332677,-1.81898043901115e-06
0.00385557242540244,-1.81639340301516e-06
0.00387801679109223,-1.81380375467862e-06
0.00390046313819654,-1.81121149532494e-06
0.00392291099764221,-1.80861669867296e-06
0.00394536046043567,-1.80601937377602e-06
0.00396781203840305,-1.8034194808629e-06
0.00399026551455271,-1.80081706442842e-06
0.00401272104496832,-1.79821212572525e-06
0.00403517853969238,-1.79560469449063e-06
0.00405763768770064,-1.79299482616494e-06
0.00408009907259625,-1.79038247218678e-06
0.00410256272364951,-1.78776764828495e-06
0.00412502856606223,-1.78515038227423e-06
0.00414749632683311,-1.78253072508625e-06
0.00416996595535478,-1.77990870176391e-06
0.0041924384167763,-1.77728421866223e-06
0.00421491261105709,-1.77465742321793e-06
0.00423738922277094,-1.77202825441157e-06
0.00425986839673821,-1.76939671415202e-06
0.00428235004879661,-1.76676283110085e-06
0.00430483391700952,-1.76412665477222e-06
