Time_s,PID
0,-0
3.15544362088405e-30,-0
6.31088724176809e-30,-0
1.953125e-07,-0
3.90625e-07,-0
6.26687566437435e-07,-0
8.63289058343304e-07,-0
1.10060597758355e-06,-0
1.33864023591113e-06,-0
1.57739642040985e-06,-0
1.81687915722318e-06,-0
2.05709310113507e-06,-0
2.29804289119185e-06,-0
2.53973329434581e-06,-0
2.78216905799395e-06,-0
3.02535501568356e-06,-0
3.26929603148544e-06,-0
3.51399697480638e-06,-0
3.75946282773649e-06,-0
4.00569855332213e-06,-0
4.25270918372561e-06,-0
4.5004998213774e-06,-0
4.74907561470994e-06,-0
4.99844170841386e-06,-0
5.24860331830459e-06,-0
5.49956574996595e-06,-0
5.75133433176029e-06,-0
6.00391442532868e-06,-0
6.25731144749505e-06,-0
6.51153088401588e-06,-0
6.76657826986059e-06,-0
7.02245917307604e-06,-0
7.27917924486458e-06,-0
7.53674416320379e-06,-0
7.79515971475728e-06,-0
8.05443165508663e-06,-0
8.31456585565371e-06,-0
8.57556821728006e-06,-0
8.83744473772919e-06,-0
9.10020142553114e-06,-0
9.36384439828478e-06,-0
9.62837979831662e-06,-0
9.89381383922322e-06,-0
1.01601528054892e-05,-0
1.04274030253912e-05,-0
1.06955709104514e-05,-0
1.09646629211027e-05,-0
1.12346855935355e-05,-0
1.15056455318123e-05,-0
1.17775494091566e-05,-0
1.20504039615263e-05,-0
1.23242160107889e-05,-0
1.25989924244601e-05,-0
1.28747401582727e-05,-0
1.31514662310899e-05,-0
1.34291777308263e-05,-0
1.37078818488726e-05,-0
1.39875858551204e-05,-0
1.42682970287877e-05,-0
1.45500227647688e-05,-0
1.48327705850073e-05,-0
1.5116548037648e-05,-0
1.5401362786477e-05,-0
1.56872225167213e-05,-0
1.59741350862835e-05,-0
1.62621083435972e-05,-0
1.65511503271445e-05,-0
1.68412690897955e-05,-0
1.7132472774932e-05,-0
1.74247696561833e-05,-0
1.77181680730894e-05,-0
1.80126764659661e-05,-0
1.83083033569701e-05,-0
1.86050573967168e-05,-0
1.89029472903885e-05,-0
1.92019818980819e-05,-0
1.95021701014988e-05,-0
1.98035209729986e-05,-0
2.01060436283173e-05,-0
2.04097472853929e-05,-0
2.07146413133973e-05,-0
2.10207351965633e-05,-0
2.13280384622997e-05,-0
2.16365607918792e-05,-0
2.19463119856443e-05,-0
2.22573019611572e-05,-0
2.25695407402688e-05,-0
2.28830384691114e-05,-0
2.31978054214253e-05,-0
2.35138519862431e-05,-0
2.3831188696135e-05,-0
2.41498261847088e-05,-0
2.44697752291123e-05,-0
2.47910467698059e-05,-0
2.51136518379616e-05,-0
2.54376015856756e-05,-0
2.57629073405499e-05,-0
2.60895805873651e-05,-0
2.64176329237304e-05,-0
2.67470760851792e-05,-0
2.70779220135852e-05,-0
2.74101826885063e-05,-0
2.77438703800469e-05,-0
2.80789974192223e-05,-0
2.84155763270383e-05,-0
2.87536197955395e-05,-0
2.90931406736177e-05,-0
2.94341519436494e-05,-0
2.97766668095639e-05,-0
3.01206986649412e-05,-0
3.046626098991e-05,-0
3.08133675208065e-05,-0
3.1162032164079e-05,-0
3.15122689726843e-05,-0
3.18640922804907e-05,-0
3.22175165020405e-05,-0
3.25725563308473e-05,-0
3.29292266140387e-05,-0
3.32875423711253e-05,-0
3.36475189141029e-05,-0
3.40091717401645e-05,-0
3.43725165703225e-05,-0
3.47375692961781e-05,-0
3.51043460473599e-05,-0
3.54728632029873e-05,-0
3.58431373785257e-05,-0
3.6215185386969e-05,-0
3.65890243396944e-05,-0
3.69646715577576e-05,-0
3.734214463249e-05,-0
3.77214613330391e-05,-0
3.81026397766344e-05,-0
3.84856983837101e-05,-0
3.88706557161469e-05,-0
3.92575306910947e-05,-0
3.96463424871905e-05,-0
4.00371106147392e-05,-0
4.04298547785644e-05,-0
4.08245950988441e-05,-0
4.12213518946232e-05,-0
4.16201458808605e-05,-0
4.20209979956925e-05,-0
4.24239296105886e-05,-0
4.28289623865815e-05,-0
4.32361182428113e-05,-0
4.36454195474285e-05,-0
4.40568889965153e-05,-0
4.44705496468835e-05,-0
4.48864248731693e-05,-0
4.53045384266285e-05,-0
4.57249145341758e-05,-0
4.61475777859338e-05,-0
4.65725530741017e-05,-0
4.69998657375747e-05,-0
4.74295416199429e-05,-0
4.78616068321086e-05,-0
4.82960880916879e-05,-0
4.87330124619923e-05,-0
4.91724075564573e-05,-0
4.96143013285263e-05,-0
5.00587222301128e-05,-0
5.05056992269101e-05,-0
5.09552618332631e-05,-0
5.14074400014012e-05,-0
5.1862264243865e-05,-0
5.23197655441968e-05,-0
5.27799755666104e-05,-0
5.32429263680262e-05,-0
5.37086507109038e-05,-0
5.41771818797197e-05,-0
5.46485537712947e-05,-0
5.51228009089425e-05,-0
5.55999583702716e-05,-0
5.60800619753185e-05,-0
5.65631481374169e-05,-0
5.70492539670707e-05,-0
5.75384173158176e-05,-0
5.80306766969627e-05,-0
5.85260713069814e-05,-0
5.90246412511714e-05,-0
5.95264272229631e-05,-0
6.00314707320169e-05,-0
6.05398142151612e-05,-0
6.10515007843309e-05,-0
6.15665746081466e-05,-0
6.2085080440273e-05,-0
6.26070641241759e-05,-0
6.31325723796256e-05,-0
6.36616528139103e-05,-0
6.41943540918642e-05,-0
6.47307258163045e-05,-0
6.52708186651065e-05,-0
6.58146843193405e-05,-0
6.63623755285257e-05,-0
6.69139461035552e-05,-0
6.74694511916394e-05,-0
6.80289468598311e-05,-0
6.85924905742537e-05,-0
6.91601409046645e-05,-0
6.97319578054534e-05,-0
7.03080025853716e-05,-0
7.08883376559893e-05,-0
7.14730270713483e-05,-0
7.20621362762778e-05,-0
7.26557321285863e-05,-0
7.32538829864601e-05,-0
7.38566589130547e-05,-0
7.44641313511965e-05,-0
7.50763736823282e-05,-0
7.56934608577758e-05,-0
7.63154695021866e-05,-0
7.69424782529802e-05,-0
7.75745676597745e-05,-0
7.82118199880428e-05,-0
7.88543197343662e-05,-0
7.95021534021159e-05,-0
8.01554095277481e-05,-0
8.08141790191823e-05,-0
8.1478554974707e-05,-0
8.2148632930704e-05,-0
8.28245108053476e-05,-0
8.35062892359166e-05,-0
8.41940710925752e-05,-0
8.48879622235622e-05,-0
8.55880713897019e-05,-0
8.62945099474895e-05,-0
8.70073925351112e-05,-0
8.77268366336218e-05,-0
8.84529633746111e-05,-0
8.91858968824622e-05,-0
8.99257647888958e-05,-0
9.06726985234134e-05,-0
9.14268331417022e-05,-0
9.21883075617405e-05,-0
9.29572645502843e-05,-0
9.37338514668256e-05,-0
9.45182199213596e-05,-0
9.53105260029344e-05,-0
