Grip_Fact,fd,time75_s,score
0.5,2,7.26069533041219,0
0.6,2,6.19668535121709,0
0.7,2,6.19199313623768,0
0.8,2,6.19114662137073,0
0.9,2,6.19012122217198,0
0.5,2.08333333333333,7.29283158907081,0
0.6,2.08333333333333,6.07023764701559,0
0.7,2.08333333333333,6.06621053394122,0
0.8,2.08333333333333,6.06450755079781,0
0.9,2.08333333333333,6.0631340289113,0
0.5,2.16666666666667,7.30635170297602,0
0.6,2.16666666666667,5.95182838550353,0
0.7,2.16666666666667,5.94606362891648,0
0.8,2.16666666666667,5.9446258422996,0
0.9,2.16666666666667,5.94319639397765,0
0.5,2.25,7.33934285985506,0
0.6,2.25,5.8386775257126,0
0.7,2.25,5.83375405173795,0
0.8,2.25,5.8323769707261,0
0.9,2.25,5.83123244057764,0
0.5,2.33333333333333,7.30255339269346,0
0.6,2.33333333333333,5.73451614406509,0
0.7,2.33333333333333,5.72880919815374,0
0.8,2.33333333333333,5.72539439588511,0
0.9,2.33333333333333,5.72449880780909,0
0.5,2.41666666666667,7.29080719006084,0
0.6,2.41666666666667,6.1823449312072,0
0.7,2.41666666666667,5.62704121824372,1.88497158385064
0.8,2.41666666666667,5.62440442601351,1.97328885119777
0.9,2.41666666666667,5.62265906070933,2.03179404163796
0.5,2.5,7.29265398448617,0
0.6,2.5,6.51368308649553,0
0.7,2.5,5.53148627930364,5.13927134127324
0.8,2.5,5.52951932114705,5.20744117774446
0.9,2.5,5.52794292013675,5.26211030300874
0.5,2.58333333333333,7.36385266891153,0
0.6,2.58333333333333,6.54302934294059,0
0.7,2.58333333333333,5.44219817635091,8.28342494149698
0.8,2.58333333333333,5.43898567337671,8.39847255690302
0.9,2.58333333333333,5.43723998815196,8.46104683808459
0.5,2.66666666666667,7.31850384788089,0
0.6,2.66666666666667,6.56048214472927,0
0.7,2.66666666666667,5.35527184578767,11.4451334172345
0.8,2.66666666666667,5.35288163582376,11.5335214038163
0.9,2.66666666666667,5.35004352828556,11.6385748350531
0.5,2.75,7.35696718151798,0
0.6,2.75,6.56138352740416,0
0.7,2.75,5.27442542722456,14.4792373835505
0.8,2.75,5.27102466072366,14.6089054275957
0.9,2.75,5.26903512721928,14.6848420831157
0.5,2.83333333333333,7.35691502618526,0
0.6,2.83333333333333,6.55579688535022,0
0.7,2.83333333333333,5.19652949152064,17.4919145517641
0.8,2.83333333333333,5.19251187502589,17.6497497768773
0.9,2.83333333333333,5.18908640943854,17.7845149141961
0.5,2.91666666666667,7.35668268090173,0
0.6,2.91666666666667,6.54131564988443,0
0.7,2.91666666666667,5.69623310158638,0
0.8,2.91666666666667,5.11594297204249,20.705202597633
0.9,2.91666666666667,5.11546896668839,20.724402474725
0.5,3,7.35483511361213,0
0.6,3,6.59895511957366,0
0.7,3,5.93227242254288,0
0.8,3,5.04474401676716,23.6295916059812
0.9,3,5.04328563017544,23.6903556002092
0.5,3.08333333333333,7.36825774672275,0
0.6,3.08333333333333,6.59778032162263,0
0.7,3.08333333333333,5.92778169661862,0
0.8,3.08333333333333,4.97555534387519,26.5515945933354
0.9,3.08333333333333,4.97289015738168,26.6657781393941
0.5,3.16666666666667,7.38229223744076,0
0.6,3.16666666666667,6.58227327984891,0
0.7,3.16666666666667,5.94282819844617,0
0.8,3.16666666666667,4.91004031021108,29.3943578926399
0.9,3.16666666666667,4.90746280010288,29.5077504770445
0.5,3.25,7.3772421834008,0
0.6,3.25,6.57910969659277,0
0.7,3.25,5.9236644370537,0
0.8,3.25,4.84731046931758,32.1882822360743
0.9,3.25,4.8439383558753,32.3405223436106
0.5,3.33333333333333,7.30470451137431,0
0.6,3.33333333333333,6.58202667676112,0
0.7,3.33333333333333,5.92792392302004,0
0.8,3.33333333333333,5.03405866773416,24.07561501903
0.9,3.33333333333333,4.78254284066073,35.1498702296099
0.5,3.41666666666667,7.38824107066093,0
0.6,3.41666666666667,6.55098472379307,0
0.7,3.41666666666667,5.94110126717936,0
0.8,3.41666666666667,5.23528063217994,15.9819822425834
0.9,3.41666666666667,4.72424989636593,37.88482791002
0.5,3.5,7.36865333237213,0
0.6,3.5,6.59889767779333,0
0.7,3.5,5.94718992351479,0
0.8,3.5,5.40695008356984,9.55322475995953
0.9,3.5,4.66745317056368,40.6152942005801
0.5,3.58333333333333,7.33792079073586,0
